"","시점","기대수명","년"
"1","2025 p)","전체",NA
"2","2024","전체",83.7
"3","2023","전체",83.5
"4","2022","전체",82.7
"5","2021","전체",83.6
"6","2020","전체",83.5
"7","2019","전체",83.3
"8","2018","전체",82.7
"9","2017","전체",82.7
"10","2016","전체",82.4
"11","2015","전체",82.1
"12","2014","전체",81.8
"13","2013","전체",81.4
"14","2012","전체",80.9
"15","2011","전체",80.6
"16","2010","전체",80.2
"17","2009","전체",80
"18","2008","전체",79.6
"19","2007","전체",79.2
"20","2006","전체",78.8
"21","2005","전체",78.2
"22","2004","전체",77.8
"23","2003","전체",77.3
"24","2002","전체",76.8
"25","2001","전체",76.5
"26","2000","전체",76
"27","1999","전체",75.5
"28","1998","전체",75.1
"29","1997","전체",74.7
"30","1996","전체",74.2
"31","1995","전체",73.8
"32","1994","전체",73.5
"33","1993","전체",73.1
"34","1992","전체",72.6
"35","1991","전체",72.2
"36","1990","전체",71.7
"37","1989","전체",71.2
"38","1988","전체",70.7
"39","1987","전체",70.1
"40","1986","전체",69.5
"41","1985","전체",68.9
"42","1984","전체",68.3
"43","1983","전체",67.7
"44","1982","전체",67.2
"45","1981","전체",66.7
"46","1980","전체",66.1
"47","1979","전체",65.6
"48","1978","전체",65.3
"49","1977","전체",65
"50","1976","전체",64.6
"51","1975","전체",64.2
"52","1974","전체",63.9
"53","1973","전체",63.5
"54","1972","전체",63.1
"55","1971","전체",62.7
"56","1970","전체",62.3
"57","2025 p)","남자",NA
"58","2024","남자",80.8
"59","2023","남자",80.6
"60","2022","남자",79.9
"61","2021","남자",80.6
"62","2020","남자",80.5
"63","2019","남자",80.3
"64","2018","남자",79.7
"65","2017","남자",79.7
"66","2016","남자",79.3
"67","2015","남자",79
"68","2014","남자",78.6
"69","2013","남자",78.1
"70","2012","남자",77.6
"71","2011","남자",77.3
"72","2010","남자",76.8
"73","2009","남자",76.7
"74","2008","남자",76.2
"75","2007","남자",75.9
"76","2006","남자",75.4
"77","2005","남자",74.9
"78","2004","남자",74.3
"79","2003","남자",73.8
"80","2002","남자",73.4
"81","2001","남자",72.9
"82","2000","남자",72.3
"83","1999","남자",71.8
"84","1998","남자",71.2
"85","1997","남자",70.7
"86","1996","남자",70.2
"87","1995","남자",69.7
"88","1994","남자",69.3
"89","1993","남자",68.9
"90","1992","남자",68.4
"91","1991","남자",67.9
"92","1990","남자",67.5
"93","1989","남자",67
"94","1988","남자",66.5
"95","1987","남자",65.9
"96","1986","남자",65.3
"97","1985","남자",64.6
"98","1984","남자",64
"99","1983","남자",63.4
"100","1982","남자",62.9
"101","1981","남자",62.4
"102","1980","남자",61.9
"103","1979","남자",61.4
"104","1978","남자",61.1
"105","1977","남자",60.9
"106","1976","남자",60.6
"107","1975","남자",60.3
"108","1974","남자",60
"109","1973","남자",59.7
"110","1972","남자",59.4
"111","1971","남자",59.1
"112","1970","남자",58.7
"113","2025 p)","여자",NA
"114","2024","여자",86.6
"115","2023","여자",86.4
"116","2022","여자",85.6
"117","2021","여자",86.6
"118","2020","여자",86.5
"119","2019","여자",86.3
"120","2018","여자",85.7
"121","2017","여자",85.7
"122","2016","여자",85.4
"123","2015","여자",85.2
"124","2014","여자",85
"125","2013","여자",84.6
"126","2012","여자",84.2
"127","2011","여자",84
"128","2010","여자",83.6
"129","2009","여자",83.4
"130","2008","여자",83
"131","2007","여자",82.5
"132","2006","여자",82.1
"133","2005","여자",81.6
"134","2004","여자",81.2
"135","2003","여자",80.8
"136","2002","여자",80.3
"137","2001","여자",80.1
"138","2000","여자",79.7
"139","1999","여자",79.2
"140","1998","여자",79
"141","1997","여자",78.7
"142","1996","여자",78.3
"143","1995","여자",77.9
"144","1994","여자",77.7
"145","1993","여자",77.3
"146","1992","여자",76.8
"147","1991","여자",76.4
"148","1990","여자",75.9
"149","1989","여자",75.3
"150","1988","여자",74.8
"151","1987","여자",74.3
"152","1986","여자",73.8
"153","1985","여자",73.2
"154","1984","여자",72.6
"155","1983","여자",71.9
"156","1982","여자",71.5
"157","1981","여자",70.9
"158","1980","여자",70.4
"159","1979","여자",69.9
"160","1978","여자",69.5
"161","1977","여자",69.1
"162","1976","여자",68.6
"163","1975","여자",68.2
"164","1974","여자",67.8
"165","1973","여자",67.3
"166","1972","여자",66.8
"167","1971","여자",66.3
"168","1970","여자",65.8
