"","시군구코드","시군구명","City County District"
"1","00","전국","Whole country"
"2","11","서울특별시","Seoul"
"3","11110","종로구","Jongno-gu"
"4","11140","중구","Jung-gu"
"5","11170","용산구","Yongsan-gu"
"6","11200","성동구","Seongdong-gu"
"7","11215","광진구","Gwangjin-gu"
"8","11230","동대문구","Dongdaemun-gu"
"9","11260","중랑구","Jungnang-gu"
"10","11290","성북구","Seongbuk-gu"
"11","11305","강북구","Gangbuk-gu"
"12","11320","도봉구","Dobong-gu"
"13","11350","노원구","Nowon-gu"
"14","11380","은평구","Eunpyeong-gu"
"15","11410","서대문구","Seodaemun-gu"
"16","11440","마포구","Mapo-gu"
"17","11470","양천구","Yangcheon-gu"
"18","11500","강서구","Gangseo-gu"
"19","11530","구로구","Guro-gu"
"20","11545","금천구","Geumcheon-gu"
"21","11560","영등포구","Yeongdeungpo-gu"
"22","11590","동작구","Dongjak-gu"
"23","11620","관악구","Gwanak-gu"
"24","11650","서초구","Seocho-gu"
"25","11680","강남구","Gangnam-gu"
"26","11710","송파구","Songpa-gu"
"27","11740","강동구","Gangdong-gu"
"28","26","부산광역시","Busan"
"29","26110","중구","Jung-gu"
"30","26140","서구","Seo-gu"
"31","26170","동구","Dong-gu"
"32","26200","영도구","Yeongdo-gu"
"33","26230","부산진구","Busanjin-gu"
"34","26260","동래구","Dongnae-gu"
"35","26290","남구","Nam-gu"
"36","26320","북구","Buk-gu"
"37","26350","해운대구","Haeundae-gu"
"38","26380","사하구","Saha-gu"
"39","26410","금정구","Geumjeong-gu"
"40","26440","강서구","Gangseo-gu"
"41","26470","연제구","Yeonje-gu"
"42","26500","수영구","Suyeong-gu"
"43","26530","사상구","Sasang-gu"
"44","26710","기장군","Gijang-gun"
"45","27","대구광역시","Daegu"
"46","27110","중구","Jung-gu"
"47","27140","동구","Dong-gu"
"48","27170","서구","Seo-gu"
"49","27200","남구","Nam-gu"
"50","27230","북구","Buk-gu"
"51","27260","수성구","Suseong-gu"
"52","27290","달서구","Dalseo-gu"
"53","27710","달성군","Dalseong-gun"
"54","27720","군위군","Gunwi-gun"
"55","28","인천광역시","Incheon"
"56","28110","중구","Jung-gu"
"57","28114","중구영종출장소","Jung-gu youngjong branch office"
"58","28118","중구용유출장소","Jung-gu yongyu branch office"
"59","28140","동구","Dong-gu"
"60","28177","미추홀구","Michuhol-gu"
"61","28185","연수구","Yeonsu-gu"
"62","28200","남동구","Namdong-gu"
"63","28237","부평구","Bupyeong-gu"
"64","28245","계양구","Gyeyang-gu"
"65","28260","서구","Seo-gu"
"66","28265","서구검단출장소","Seo-gu geomdan branch office"
"67","28710","강화군","Ganghwa-gun"
"68","28720","옹진군","Ongjin-gun"
"69","29","광주광역시","Gwangju"
"70","29110","동구","Dong-gu"
"71","29140","서구","Seo-gu"
"72","29155","남구","Nam-gu"
"73","29170","북구","Buk-gu"
"74","29200","광산구","Gwangsan-gu"
"75","30","대전광역시","Daejeon"
"76","30110","동구","Dong-gu"
"77","30140","중구","Jung-gu"
"78","30170","서구","Seo-gu"
"79","30200","유성구","Yuseong-gu"
"80","30230","대덕구","Daedeok-gu"
"81","31","울산광역시","Ulsan"
"82","31110","중구","Jung-gu"
"83","31140","남구","Nam-gu"
"84","31170","동구","Dong-gu"
"85","31200","북구","Buk-gu"
"86","31710","울주군","Ulju-gun"
"87","36","세종특별자치시","Sejong-si"
"88","36110","세종시","Sejong-si"
"89","41","경기도","Gyeonggi-do"
"90","41110","수원시","Suwon-si"
"91","41111","장안구","Jangan-gu"
"92","41113","권선구","Gwonseon-gu"
"93","41115","팔달구","Paldal-gu"
"94","41117","영통구","Yondtong-gu"
"95","41130","성남시","Seongnam-si"
"96","41131","수정구","Sujeong-gu"
"97","41133","중원구","Jungwon-gu"
"98","41135","분당구","Bundang-gu"
"99","41150","의정부시","Uijeongbu-si"
"100","41170","안양시","Anyang-si"
"101","41171","만안구","Manan-gu"
"102","41173","동안구","Dongan-gu"
"103","41190","부천시","Bucheon-si"
"104","41192","원미구","Wonmi-gu"
"105","41194","소사구","Sosa-gu"
"106","41196","오정구","Ojeong-gu"
"107","41210","광명시","Gwangmyeong-si"
"108","41220","평택시","Pyeongtaek-si"
"109","41222","송탄출장소","Songtan branch office"
"110","41224","안중출장소","Anjung branch office"
"111","41250","동두천시","Dongducheon-si"
"112","41270","안산시","Ansan-si"
"113","41271","상록구","Sangnok-gu"
"114","41273","단원구","Danwon-gu"
"115","41280","고양시","Goyang-si"
"116","41281","덕양구","Deogyang-gu"
"117","41285","일산동구","Ilsandong-gu"
"118","41287","일산서구","Ilsanseo-gu"
"119","41290","과천시","Gwacheon-si"
"120","41310","구리시","Guri-si"
"121","41360","남양주시","Namyangju-si"
"122","41362","풍양출장소","Pungyang branch office"
