"행정구역(시군구)별","항목","단위","2026.02 월","2026.01 월","2025.12 월","2025.11 월","2025.10 월","2025.09 월","2025.08 월","2025.07 월","2025.06 월","2025.05 월","2025.04 월","2025.03 월","2025.02 월","2025.01 월","2024.12 월","2024.11 월","2024.10 월","2024.09 월","2024.08 월","2024.07 월","2024.06 월","2024.05 월","2024.04 월","2024.03 월","2024.02 월","2024.01 월","2023.12 월","2023.11 월","2023.10 월","2023.09 월","2023.08 월","2023.07 월","2023.06 월","2023.05 월","2023.04 월","2023.03 월","2023.02 월","2023.01 월","2022.12 월","2022.11 월","2022.10 월","2022.09 월","2022.08 월","2022.07 월","2022.06 월","2022.05 월","2022.04 월","2022.03 월","2022.02 월","2022.01 월","2021.12 월","2021.11 월","2021.10 월","2021.09 월","2021.08 월","2021.07 월","2021.06 월","2021.05 월","2021.04 월","2021.03 월","2021.02 월","2021.01 월","2020.12 월","2020.11 월","2020.10 월","2020.09 월","2020.08 월","2020.07 월","2020.06 월","2020.05 월","2020.04 월","2020.03 월","2020.02 월","2020.01 월","2019.12 월","2019.11 월","2019.10 월","2019.09 월","2019.08 월","2019.07 월","2019.06 월","2019.05 월","2019.04 월","2019.03 월","2019.02 월","2019.01 월","2018.12 월","2018.11 월","2018.10 월","2018.09 월","2018.08 월","2018.07 월","2018.06 월","2018.05 월","2018.04 월","2018.03 월","2018.02 월","2018.01 월","2017.12 월","2017.11 월","2017.10 월","2017.09 월","2017.08 월","2017.07 월","2017.06 월","2017.05 월","2017.04 월","2017.03 월","2017.02 월","2017.01 월","2016.12 월","2016.11 월","2016.10 월","2016.09 월","2016.08 월","2016.07 월","2016.06 월","2016.05 월","2016.04 월","2016.03 월","2016.02 월","2016.01 월","2015.12 월","2015.11 월","2015.10 월","2015.09 월","2015.08 월","2015.07 월","2015.06 월","2015.05 월","2015.04 월","2015.03 월","2015.02 월","2015.01 월","2014.12 월","2014.11 월","2014.10 월","2014.09 월","2014.08 월","2014.07 월","2014.06 월","2014.05 월","2014.04 월","2014.03 월","2014.02 월","2014.01 월","2013.12 월","2013.11 월","2013.10 월","2013.09 월","2013.08 월","2013.07 월","2013.06 월","2013.05 월","2013.04 월","2013.03 월","2013.02 월","2013.01 월","2012.12 월","2012.11 월","2012.10 월","2012.09 월","2012.08 월","2012.07 월","2012.06 월","2012.05 월","2012.04 월","2012.03 월","2012.02 월","2012.01 월","2011.12 월","2011.11 월","2011.10 월","2011.09 월","2011.08 월","2011.07 월","2011.06 월","2011.05 월","2011.04 월","2011.03 월","2011.02 월","2011.01 월",
"전국","세대수[세대]","세대","24350797","24312758","24300087","24290907","24287806","24282926","24266454","24250962","24238510","24223795","24212185","24197999","24170531","24124988","24118928","24109581","24105045","24102045","24087679","24074820","24057429","24042533","24021667","24002008","23962497","23924692","23914851","23904793","23901564","23900917","23888954","23873825","23856142","23838308","23814826","23795469","23757654","23716980","23705814","23699243","23697051","23682288","23724829","23699750","23675578","23650555","23617091","23590069","23546053","23498025","23472895","23444608","23415533","23383689","23336989","23294707","23256332","23225281","23198657","23157385","23194982","23137172","23093108","23037033","22991110","22952513","22898959","22842044","22791531","22732288","22663240","22613882","22561161","22513039","22481466","22444006","22414439","22380985","22347155","22314013","22281663","22253218","22212339","22175371","22131431","22081397","22042947","22006919","21972704","21930578","21895153","21853371","21825601","21804246","21777777","21745437","21703524","21662900","21632851","21599577","21570895","21544772","21514559","21482219","21455795","21429935","21402062","21381346","21352287","21312864","21294009","21267187","21241538","21214428","21192974","21173397","21153853","21130317","21104857","21084550","21057262","21026847","21011152","20988782","20967469","20940559","20916461","20892349","20870280","20844274","20821017","20801104","20772167","20740958","20724094","20702623","20682278","20655145","20628782","20606866","20586788","20567959","20549492","20527351","20500837","20466884","20456588","20437628","20418259","20393578","20373300","20353395","20337060","20316172","20295992","20273632","20248440","20223716","20211770","20196798","20182469","20167152","20153476","20137163","20122836","20109711","20094955","20081106","20061711","20038189","20033142","20019850","20004361","19985664","19968170","19952383","19945050","19935590","19923412","19906696","19891086","19869849",
"서울특별시","세대수[세대]","세대","4512818","4504087","4501031","4501136","4503798","4505357","4504347","4502552","4501234","4498871","4498689","4497896","4492425","4482949","4482063","4481533","4484218","4487671","4487525","4486857","4486014","4486224","4486137","4485819","4480607","4471017","4469417","4469374","4472603","4475726","4473734","4471174","4469158","4467999","4465391","4463385","4457982","4447861","4446296","4448660","4450389","4450525","4472975","4469392","4464840","4460604","4455106","4451444","4442586","4430541","4426007","4424222","4422587","4421143","4416816","4409964","4405638","4403381","4403263","4400403","4427814","4421022","4417954","4412343","4408498","4405833","4400154","4391545","4384076","4373610","4361645","4354006","4345877","4334918","4327605","4322454","4319322","4315921","4312172","4308300","4304243","4301522","4296066","4290922","4283150","4271551","4263868","4260463","4258518","4254018","4249335","4243687","4241547","4240628","4239848","4237610","4231130","4224387","4220082","4219280","4219562","4219001","4217954","4213667","4210933","4207393","4203957","4202888","4200761","4192985","4189839","4190260","4191313","4191411","4191784","4192776","4193712","4193473","4193887","4194485","4193517","4190415","4189948","4192412","4194103","4195438","4196071","4196515","4197478","4199356","4200803","4202812","4201451","4196435","4194176","4195300","4195960","4195210","4193111","4190836","4189495","4189440","4189778","4190331","4188621","4182556","4182351","4184122","4185280","4184537","4183132","4181320","4181577","4181819","4182017","4182314","4181574","4178537","4177970","4180568","4182937","4185440","4185964","4186203","4187283","4188758","4190283","4192477","4194856","4191988","4192752","4195791","4199109","4201510","4204155","4206353","4210104","4214866","4219198","4221613","4225512","4223301",
"종로구","세대수[세대]","세대","72381","72274","72324","72352","72409","72402","72410","72499","72509","72434","72430","72387","72319","72156","72166","72230","72248","72341","72377","72429","72394","72475","72479","72404","72294","72101","72067","72060","72132","72304","72381","72440","72507","72584","72644","72679","72773","72479","72524","72666","72758","72797","73866","73756","73728","73822","73773","73766","73763","73541","73494","73586","73613","73652","73580","73453","73525","73712","74178","74113","75112","75060","75003","74900","74835","74861","74700","74605","74497","74408","74299","74151","74028","73925","73947","73951","73906","73942","73802","73790","73828","73836","73861","73914","73814","73691","73735","73713","73712","73696","73559","73554","73655","73811","73857","73879","73570","73562","73594","73618","73663","73668","73424","73241","73091","73025","72838","72654","72007","71966","72118","72329","72466","72582","72597","72699","72820","72925","73034","73146","72718","72605","72645","72780","72890","72878","72691","72731","72882","73032","73153","73218","72928","72949","73101","73281","73445","73581","73495","73506","73629","73729","73740","73689","73683","73548","73693","73854","73943","74016","74069","74020","74092","74169","74398","74581","75042","75365","75659","75993","76100","76245","76305","76269","76315","76381","76500","76702","76697","76717","76688","76811","76957","76999","76986","76978","77121","77224","77298","77380","77598","77569",
"중구","세대수[세대]","세대","63883","63815","63817","63952","64120","64259","64286","64369","64490","64617","64738","64863","64932","64933","64995","65120","65316","65378","65373","65338","65273","65230","65225","65132","64972","64758","64714","64586","64590","64609","64558","64465","64375","64260","64081","63862","63492","63123","63139","63167","63206","63300","64011","64040","63958","63880","63834","63767","63644","63520","63519","63493","63409","63267","63130","63001","62897","62847","63851","63746","63789","63707","63686","63666","63640","63594","63540","63397","63354","63234","63091","63045","63016","62814","62739","62633","62608","62593","62553","62481","62156","61873","61879","61800","61770","61612","61502","61418","61361","61232","61127","61075","61091","61069","60943","60903","60689","60520","60412","60285","60212","60130","59896","59436","59368","59413","59394","59481","59602","59600","59651","59701","59686","59591","59570","59381","59315","59290","59409","59339","59253","59279","59321","59438","59506","59452","59456","59513","59614","59696","59920","60043","60056","59932","59960","60061","60168","60149","60136","60187","60267","60307","60338","60481","60563","60526","60600","60663","60651","60649","60756","60866","60967","61045","61079","61217","61366","61431","61546","61687","61989","62371","62496","62541","62537","62481","62410","62380","62206","61763","61475","61068","60918","60896","60972","61008","61110","61285","61381","61419","61500","61423",
"용산구","세대수[세대]","세대","102844","102893","102959","103005","103214","103187","103203","103274","103235","103206","103206","103236","103226","103204","103241","103335","103504","103860","103992","104057","104187","104367","105240","106272","106972","107328","107825","108381","108907","109360","109527","109674","109679","109717","109712","109735","109778","109734","109805","109905","109936","109954","112074","111948","111860","111508","111293","111207","111134","111010","111036","111126","111067","111177","111419","111635","111650","112275","112940","112881","113600","113267","113093","112906","112699","112451","112059","111800","111586","111319","111037","110895","110770","110457","110126","109964","109909","109911","109916","109794","109692","109507","109378","109413","109348","109146","108974","108938","108874","108777","108664","108552","108516","108552","108545","108497","108280","107979","107666","107415","107282","107090","106903","106664","106603","106511","106475","106544","106639","106566","106607","106698","106886","107026","107158","107293","107277","107256","107295","107342","107374","107428","107512","107639","107641","107827","107934","108077","108138","108257","108357","108506","108524","108480","108429","108448","108522","108694","108796","108896","109019","109189","109244","109487","109554","109406","109361","109500","109669","109741","109887","110003","110126","110226","110329","110479","110588","110665","110706","110870","111016","111222","111313","111354","111459","111611","111777","112049","112338","112510","112617","112718","112861","112969","113111","113262","113330","113412","113255","113264","113151","113154",
"성동구","세대수[세대]","세대","133618","133305","133173","133145","133109","132994","132488","132160","132209","132192","132175","132253","132124","131857","131953","132248","132615","132856","132969","133102","133233","133325","133297","133374","133197","132985","133089","133178","133253","133366","133433","133464","133484","133551","133503","133513","133517","133293","133305","133435","133599","133819","134616","134387","134327","134357","134437","134533","134286","134126","134233","134400","134517","134620","134507","134493","134542","134664","135884","135883","135958","135862","135870","135871","135978","136096","136094","136030","135937","135712","135563","135643","135797","135732","135838","136000","136196","136466","136592","136703","136872","137024","137053","137247","137288","137183","137209","137197","137124","136831","136494","136000","135666","135399","135147","134543","133644","133233","132902","132720","132564","132415","132157","131716","131474","131261","131032","130868","130493","129555","128727","127809","127539","127771","127711","127460","127341","127072","126711","126666","126707","126702","126714","126835","126961","127047","126989","126932","126915","126539","126088","126021","125926","125815","125814","126009","126113","126348","126412","126620","126698","126683","126738","126714","126520","126393","126447","126540","126593","126701","126775","126849","127026","126960","127024","127035","126936","126335","125848","125865","125938","126024","125797","125599","125689","125745","125828","125880","126033","125947","126148","126487","126834","127169","127399","127748","128052","128319","128572","128922","129255","129388",
"광진구","세대수[세대]","세대","171518","171161","171133","171105","171205","171265","171399","171464","171520","171296","170972","170639","170185","169878","169931","170110","170233","170383","170449","170439","170469","170508","170588","170557","170409","170093","170077","170152","170271","170388","170210","169935","169857","169950","169725","169787","169648","169416","169291","169376","169382","169338","170014","169985","169856","169769","169638","169483","168975","168238","167949","167661","167559","167438","167233","167057","166957","166866","166666","166638","167677","167561","167427","167173","166944","166857","166703","166520","166307","166014","165579","165287","165100","164730","164428","164258","164232","164173","164082","163880","163914","163862","163578","163460","163293","162846","162606","162398","162069","161714","161556","161293","161294","161369","161415","161407","161397","161143","160798","160539","160230","160085","159965","159585","159375","159157","159008","158960","158861","158504","158390","158449","158467","158554","158560","158526","158454","158388","158542","158593","158519","158295","158353","158440","158528","158544","158563","158706","158769","158926","159057","159056","158903","158608","158524","158588","158778","159025","159120","159207","159338","159462","159622","159650","159516","159162","159173","159244","159221","159246","159088","159059","159077","159013","158995","158987","158913","158699","158534","158542","158620","158750","158696","158590","158447","158483","158458","158486","158520","158433","158472","158597","158623","158655","158723","158935","159091","159263","159447","159580","159706","159671",
"동대문구","세대수[세대]","세대","179035","177750","176684","175750","175850","176040","175915","175487","174918","174795","174822","174846","173949","172811","172840","173296","173654","173878","173942","173860","173903","174045","174086","174010","173590","172756","172801","172934","173003","173091","172680","171945","171703","171388","171288","171140","170766","169716","169873","170154","170169","170068","170413","170066","169931","169815","169650","169695","169211","168435","168219","167960","167754","167591","167136","166670","166372","166197","166000","165924","167854","167524","167598","167428","167301","167232","166933","166662","166451","166073","165516","165279","164844","164359","164191","163900","163666","163606","163442","163103","162851","162581","162324","162228","162229","161742","161820","162168","162354","162232","161984","161336","160757","160478","160524","160489","160296","159955","159938","160003","160080","160029","159982","159887","159826","159911","159915","159839","159803","159396","159426","159507","159471","159429","159489","159665","159914","160155","160347","160378","160215","159898","159941","159972","160101","160079","159966","159967","160110","160267","160320","160384","160096","159810","159880","159930","159800","159413","158972","159076","159186","159393","159410","159399","159341","159163","159256","159335","159373","159315","159257","158987","158794","158398","157839","157854","157798","157578","157650","157851","157946","158017","158067","158178","158277","158296","158285","158294","158289","157745","157823","157987","158154","158242","158288","158189","158336","158719","158874","158890","158954","158661",
"중랑구","세대수[세대]","세대","189939","189612","189383","189192","189015","188870","188783","188746","188724","188618","188666","188661","188657","188637","188651","188637","188737","188803","188826","188789","188664","188736","188694","188653","188620","188277","188097","187680","187858","187900","187877","187978","187981","188020","187977","187898","187776","187489","187413","187418","187467","187513","188283","188269","188188","188134","187953","187693","187004","186076","185712","185514","185505","185497","185333","185131","185073","185026","185458","185506","186457","186225","185920","185610","185356","185109","184597","183607","183310","182930","182433","182220","182034","181774","181579","181400","181382","181448","181375","181342","181383","181237","181212","181182","180986","180740","180511","180360","180243","180044","179914","179758","179690","179768","179710","179600","179365","179184","179132","179116","179077","179002","178760","178508","178185","177737","177597","177548","177595","177477","177400","177392","177318","177232","177156","177230","177105","177061","176903","176721","176604","176478","176390","176461","176340","176441","176592","176847","177077","177150","177037","176862","176830","176760","176714","176779","176774","176683","176551","176206","175862","175715","175657","175731","175662","175144","174938","174821","174916","174870","174731","174770","174741","174612","174517","174447","174387","174269","174313","174326","174405","174334","174304","174361","174475","174578","174675","174927","174954","175009","175115","175298","175289","175352","175481","175566","175699","175845","175949","176003","176110","176074",
"성북구","세대수[세대]","세대","199301","198616","198800","199047","199197","199326","199237","199125","198882","198280","197587","196988","196729","196178","196485","196744","196991","197414","197429","197324","197371","197353","197440","197445","197012","196512","196800","197041","197271","197607","197673","197686","197831","197906","197801","197859","197673","196936","197082","197354","197535","197588","198452","198258","198089","197884","197566","197296","196281","194981","195017","195064","195126","195099","194774","194528","194364","194304","194136","193965","196066","195703","195396","195331","195415","195379","195325","195178","195064","194735","194095","193801","193344","192809","192592","192535","192307","191465","191174","190698","190253","189947","189542","188670","187362","186641","186601","186638","186761","186744","186665","186542","186696","186915","187111","187234","187221","186939","187112","187345","187565","187822","188006","188037","188100","188233","188398","188512","188513","188060","188304","188721","189062","189367","189718","190022","190406","190559","190818","190957","191013","190796","190973","191358","191685","191987","192246","192459","192670","192923","193226","193560","193602","193258","193359","193715","194107","194541","194853","195211","195568","195998","196336","196661","196756","196556","196693","197058","197376","197679","197769","197819","197887","197927","198058","198094","197922","197803","197992","198203","198418","198665","198738","198730","198707","198792","198916","199168","199260","199135","199398","199674","199966","200179","200317","200508","200761","201097","201424","201594","201664","201402",
