"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
"전국",24300087,24118928,23914851,23705814,23472895,23093108,22481466,22042947,21632851,21294009,21011152,20724094,20456588,20211770,20033142,19865179,19261292,19005339,18687694,18326619,17857511,17391932,16987634,16489107,16080992,15765275,15442263,15172849,14912542,14501400,14152894,13777102,13435710,13030487
"서울특별시",4501031,4482063,4469417,4446296,4426007,4417954,4327605,4263868,4220082,4189839,4189948,4194176,4182351,4177970,4192752,4224181,4116660,4097562,4046086,3978938,3871024,3780305,3714697,3623929,3570228,3540492,3490616,3458511,3462552,3421087,3417958,3429629,3408080,3359075
"종로구",72324,72166,72067,72524,73494,75003,73947,73735,73594,72118,72645,73101,73693,75659,76688,77621,74315,74660,71968,70925,69982,70408,70288,70113,70085,69935,69581,69668,71185,70236,70913,72696,74041,74421
"중구",63817,64995,64714,63139,63519,63686,62739,61502,60412,59651,59321,59960,60600,61546,61475,61468,58249,58174,57473,56642,55101,54419,54487,54521,55409,53964,47969,46072,47386,48170,51201,53797,56526,58689
"용산구",102959,103241,107825,109805,111036,113093,110126,108974,107666,106607,107512,108429,109361,110706,112617,113204,107456,106966,104720,101479,97324,94788,93262,91735,92239,90547,88684,88418,87788,89109,89973,91198,91599,92524
"성동구",133173,131953,133089,133305,134233,135870,135838,137209,132902,128727,126714,125814,126447,125848,126148,129644,126670,128658,135655,133864,131725,128964,126592,123394,121565,119842,117701,110157,110792,110301,112828,243635,243937,243309
"광진구",171133,169931,170077,169291,167949,167427,164428,162606,160798,158390,158353,158524,159173,158534,158472,159675,156140,155676,154017,150736,147077,145430,144687,141367,139190,137934,136023,136557,136070,131326,128738,-,-,-
"동대문구",176684,172840,172801,169873,168219,167598,164191,161820,159938,159426,159941,159880,159256,157650,157823,158485,153437,156267,156777,155667,152613,148168,146457,143014,138849,136644,130678,132854,135516,135903,140584,145427,147763,148721
"중랑구",189383,188651,188097,187413,185712,185920,181579,180511,179132,177400,176390,176714,174938,174313,175115,176096,171448,171183,167665,163509,159674,158283,156511,154085,152708,153386,152485,152846,154238,151931,142557,141593,139897,136671
"성북구",198800,196485,196800,197082,195017,195396,192592,186601,187112,188304,190973,193359,196693,197992,199398,201489,192990,190713,187024,185805,177456,169704,167475,159810,158642,159916,162442,162931,161266,160915,162106,161723,162426,163245
"강북구",142256,143063,143560,144313,144536,145896,144277,143395,142533,141229,141088,141246,141246,142150,142527,142711,136779,136300,135415,134490,132471,131995,129543,126252,119814,117886,116512,117701,119323,120724,124206,-,-,-
"도봉구",139018,138759,138261,138356,138656,139114,138508,138087,137378,136898,136903,136977,137714,138036,139348,140603,139010,139733,138156,136003,134308,131129,127264,122201,119856,118807,119418,119744,122315,119316,116620,239909,237383,229099
"노원구",216559,217743,217904,217540,217378,218270,216966,217655,217619,219736,219768,221107,222132,222959,225104,228022,225000,225065,222109,218799,215166,212531,211144,209521,207842,201204,195469,186639,182785,181152,185238,181446,179571,173352
"은평구",214276,215305,215721,213876,214711,213914,207681,205001,202839,201891,203410,202187,202487,200502,197582,196390,185701,182762,181551,180503,178816,177305,172761,164981,160274,158856,158681,159865,162970,161755,160946,160750,157401,152983
"서대문구",146113,146221,146845,145797,143647,144838,140157,138549,137266,136766,135770,134780,135272,135104,134730,138473,137062,138295,144016,141869,138320,136146,134956,134023,132044,131473,129403,126787,123367,122747,122360,121186,121181,121023
"마포구",180260,181135,181090,180084,179861,178482,175023,172505,169408,169432,171480,169492,166780,166722,168640,170531,165750,165978,167901,165036,159894,153994,149272,142790,140799,141862,140081,137955,138896,136114,135529,137420,137553,137918
"양천구",179514,180209,180695,181187,181404,180633,177256,176498,176649,177434,179512,179069,180443,181135,182677,183718,182363,183002,181977,178984,174368,169326,163755,158639,156180,155521,152133,152339,152416,150622,149869,150170,150267,150067
"강서구",273604,273911,274084,273697,271175,266982,262708,258503,254257,245045,238952,234378,226607,223708,223490,225313,221975,223026,213893,208347,202052,193973,189521,181422,175849,173789,171724,168867,168210,166709,164192,156903,144268,131743
"구로구",184270,183891,184096,183655,180929,180531,176568,172457,171570,172220,172321,172594,171419,171498,171064,170317,167404,165750,163310,159991,154397,150568,146240,142342,140533,135896,132543,127187,125327,123491,123827,223672,228855,229122
"금천구",121572,121075,120381,119583,117595,114715,110622,107971,106066,104483,103847,103940,104179,104357,103600,103412,100285,100138,99299,99193,98179,96632,95608,93056,91035,91827,91493,91842,91484,90266,92827,-,-,-
"영등포구",192407,192199,190737,188832,187020,184714,174806,171085,167355,165729,167863,168100,167761,167685,168850,171791,168099,168187,166087,164263,159762,154167,149948,147838,145093,143085,141023,139414,139559,137511,139479,141843,142411,141280
"동작구",186834,186950,186675,185773,184812,184229,180753,177176,172995,172506,170495,172389,172700,169293,167099,167887,163344,163742,163600,161958,158192,154625,151694,144854,143095,144888,143849,145440,147178,145018,144706,143611,140930,134164
"관악구",288778,285963,284578,283623,276597,274811,268559,262222,255352,251955,249191,248180,248006,247598,246979,247588,241873,241511,236544,230093,220879,214261,206087,197578,192531,186734,181196,181105,182031,181177,183335,186110,185799,180902
"서초구",173506,170681,169884,167749,170244,173502,173199,172918,173594,173970,173007,173469,170594,168878,168988,170882,166405,159907,158880,158618,152245,148608,144165,138627,138387,137997,138329,137470,137101,134492,130927,129406,125444,124681
"강남구",245264,245094,239775,232777,234233,234872,232981,228775,231612,234080,237373,237375,230645,230755,231983,234345,229431,227533,226149,222642,211338,201571,196628,193857,192505,193101,192164,188690,186175,180730,176199,175174,168410,163176
"송파구",285903,287017,285927,284853,282417,281959,278711,270866,264628,258382,256611,257207,257441,257852,261963,264364,260681,256104,237517,228770,222169,216434,219648,223754,222337,222053,221483,220138,220438,214189,210707,211431,209612,207452
"강동구",222624,212585,203734,202169,201613,196499,183390,177247,177407,177460,180508,185905,186764,187490,190392,190152,184793,178232,174383,170752,167516,166876,166704,164155,163367,163345,159552,157825,158736,157183,158091,160529,162806,164533
"부산광역시",1573996,1570403,1564588,1555867,1544663,1530431,1497908,1480468,1467555,1451270,1437818,1421648,1404663,1389526,1381257,1371346,1323771,1311724,1300692,1288671,1270612,1251069,1236262,1219902,1210902,1199804,1187703,1173328,1157537,1140293,1125926,1095818,1087559,1076894
"중구",23261,23529,23747,23960,23925,23847,23160,22975,23284,23282,23295,23493,23374,23309,23284,23266,22064,21920,21595,21487,21488,21462,21578,21468,21338,21268,21174,21050,20839,20934,21321,22513,22155,22982
"서구",53445,53648,53630,53626,52960,53853,52786,52819,51953,52497,53199,53417,53031,53138,53585,53783,51490,51755,52275,52537,52447,52159,51748,51670,51837,51754,51599,52044,52230,52611,53259,54380,55102,56062
"동구",46249,47048,47428,46349,46362,46003,44657,43261,43413,43036,43430,43728,43528,43859,44192,44018,42297,42197,42202,42063,42136,42451,42680,42705,42949,42845,43048,43486,43892,44593,46167,47280,48331,49751
"영도구",53292,53659,54293,54342,54659,54903,54859,55312,55713,55893,56446,56580,57277,57900,58584,59147,57651,57948,57914,57971,57934,57507,57728,57604,58136,58496,58416,58743,58870,59267,59439,58381,56450,54744
"부산진구",188730,184179,181914,178049,173353,173263,166865,165253,166491,165238,165199,165056,162795,160699,159915,158253,153413,152942,151256,149836,147811,142108,140762,140338,139247,137847,136360,134523,133382,132055,134720,136373,137650,139627
"동래구",122770,122121,119706,119503,115718,114987,112136,108757,108609,107917,106766,107023,105836,105187,106244,104637,101419,100394,99954,96972,93833,92738,91847,92781,92895,93082,92368,90805,89963,89834,89809,162234,163546,163447
"남구",118826,119763,118427,117601,117821,117876,117397,117558,113898,113791,114120,114412,114945,113397,113583,113426,110473,109472,107476,106311,105365,103514,102615,99395,96535,93721,91719,91964,91038,91130,91007,148871,149312,150570
"북구",121936,122360,123082,123569,123316,120668,120273,120036,120249,120707,118865,115869,115308,115306,112592,112634,110502,110550,111384,111418,110915,108149,104499,100903,96453,93697,92315,87896,86460,84538,80588,162424,155724,146725
"해운대구",169635,169821,169532,170435,172397,171376,168650,166748,165002,165290,164386,162347,161081,160053,158114,157282,153019,150668,148828,144845,137424,134527,132169,129003,128833,127283,125272,122317,113353,101582,88075,83841,81121,77790
"사하구",139728,140631,140764,140778,139604,138854,138790,138503,137679,135641,134692,134877,134841,134327,133869,133694,130410,130112,128199,126908,126389,124345,122527,120411,120182,120209,119304,118441,116376,115039,111351,108025,106037,101913
"금정구",104548,104817,105906,106950,108070,107561,107024,106415,104827,102522,101130,100616,100423,99610,98005,96916,93103,93127,92494,93044,91781,91972,91708,90692,91308,91782,91417,90965,90305,89105,89997,89184,89450,90129
"강서구",65299,62433,62238,62426,61502,58141,53731,50488,47850,44112,38727,33165,29491,27838,27325,26296,25009,22132,21605,21729,21311,20882,20878,20741,20778,21013,21226,21917,21959,22003,22261,22312,22681,23154
"연제구",100217,99568,95873,93557,93606,92583,90266,87833,85892,84398,84543,83188,82467,82161,82005,80824,77490,77326,76197,75681,75279,74973,74934,73887,72134,70315,70337,69135,69725,70453,71805,-,-,-
"수영구",87607,88068,88299,87361,85896,84311,81452,79842,79788,77733,76325,74356,71790,71183,70314,69633,66948,65932,65458,64232,62897,62062,59643,58558,58554,58605,58230,58305,58477,58136,58664,-,-,-
"사상구",98610,99563,100003,98625,98621,97556,96726,96698,97169,96403,96671,96915,96636,96373,96840,96873,93149,93480,93477,93812,93876,93345,93612,93578,93979,93213,90653,87751,87081,85952,85241,-,-,-
"기장군",79843,79195,79746,78736,76853,74649,69136,67970,65738,62810,60024,56606,51840,45186,42806,40664,35334,31769,30378,29825,29726,28875,27334,26168,25744,24674,24265,23986,23587,23061,22222,-,-,-
"대구광역시",1112508,1104130,1094148,1070873,1063893,1056627,1031251,1021266,1006753,994220,982360,970618,960265,948652,940770,934598,906470,894969,883920,875173,865766,853142,845242,827177,815709,805779,789891,779433,769904,758850,751475,699609,681531,662577
"중구",50357,48786,44871,40749,38370,39111,38418,38619,37856,37987,38294,37220,35780,35175,35371,35539,34106,34130,33954,33445,33524,32513,33369,33448,33444,33553,34217,34865,35759,36549,38242,39883,41463,41365
"동구",165581,164806,162691,159422,158423,155865,152545,152370,148719,147154,144403,141918,138851,136479,135187,132857,127721,125324,124923,123614,123369,120937,117717,112567,112099,111127,110384,109528,108188,108123,108373,108680,107484,106493
"서구",85176,84268,83949,81116,82301,83437,82733,85142,86738,88468,89896,90413,90793,91162,91355,91134,88112,87470,89005,89795,90557,91058,91843,92594,93386,93631,94166,95892,99155,101942,103684,105795,107200,109198
"남구",75515,75203,75887,76401,76256,76582,74588,74134,73442,73979,74949,75028,75038,75085,74508,74527,72426,72425,72077,71127,69221,68189,68478,67726,67438,67264,67840,67546,68748,70613,72901,73979,74386,75015
"북구",192994,191797,191349,192697,190956,187494,180115,177162,174617,171181,169568,167760,165041,164222,163032,162429,159488,160139,158730,159651,156299,152123,146477,139927,130373,127476,124539,119897,118857,117632,113428,105915,101270,93998
"수성구",176766,174674,171939,171480,171239,170870,167040,165843,164900,165392,165786,165197,164518,162023,161277,160501,155905,153291,151031,147699,144890,143965,143946,141698,144550,144328,142625,142066,142619,140564,135508,129263,123324,118988
"달서구",238647,237415,235685,235883,234950,235303,231978,227966,224583,225643,225889,224083,222326,217731,215189,213725,206757,202699,198529,195286,194385,192586,191545,188731,184343,179046,170668,165425,152889,143497,141510,136094,126404,117520
"달성군",113978,113777,114189,113125,111398,107965,103834,100030,95898,84416,73575,68999,67918,66775,64851,63886,61955,59491,55671,54556,53521,51771,51867,50486,50076,49354,45452,44214,43689,39930,37829,-,-,-
"군위군",13494,13404,13588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천광역시",1400788,1373827,1350912,1322632,1298647,1267956,1238641,1213201,1188917,1171399,1154004,1136280,1118988,1097491,1077563,1059664,1026936,1014755,995712,965302,933686,908673,891606,872057,845739,829164,809671,794534,774322,745109,724905,669096,644004,615125
"중구",88888,83800,79520,75960,71061,68379,65002,57887,54525,52218,51240,49874,47949,44368,42288,42065,39991,38994,39082,39329,38707,36821,33920,30002,27593,26403,26144,26021,25660,24475,24394,24257,24688,25074
"중구영종출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"중구용유출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동구",27216,27792,28091,27618,28681,28777,28739,28952,29870,30081,30371,30776,30966,31423,32208,32474,30943,29968,29286,29280,29474,30034,29528,26739,26523,26253,26982,27342,29744,30575,31482,31939,33252,33898
"남구",-,-,-,-,-,-,-,-,182292,178444,171888,171507,171342,171293,171868,173785,169510,168330,163179,161439,158876,159882,157384,152081,144020,139631,137125,135263,134951,132979,131415,182336,164876,147836
"미추홀구",205242,201075,196607,194841,193561,188277,184872,184275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연수구",168688,163940,159905,156047,155984,152266,140700,129806,123913,120580,115920,112015,107906,104748,102953,100065,96504,95062,94432,93776,89463,84610,83788,83213,83016,82976,82077,81149,78296,72903,64800,-,-,-
"남동구",225320,224816,224268,226763,228442,225394,221455,218945,214280,209885,208231,199768,194917,192030,188124,179592,173529,168414,157972,143117,135174,134286,135330,136423,134790,132897,128292,126555,124207,121233,119084,116961,112775,109426
"북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231324,228146,220761
