"행정구역(시군구)별","항목","단위","2025.4/4","2025.3/4","2025.2/4","2025.1/4","2024.4/4","2024.3/4","2024.2/4","2024.1/4","2023.4/4","2023.3/4","2023.2/4","2023.1/4","2022.4/4","2022.3/4","2022.2/4","2022.1/4","2021.4/4","2021.3/4","2021.2/4","2021.1/4","2020.4/4","2020.3/4","2020.2/4","2020.1/4","2019.4/4","2019.3/4","2019.2/4","2019.1/4","2018.4/4","2018.3/4","2018.2/4","2018.1/4","2017.4/4","2017.3/4","2017.2/4","2017.1/4","2016.4/4","2016.3/4","2016.2/4","2016.1/4","2015.4/4","2015.3/4","2015.2/4","2015.1/4","2014.4/4","2014.3/4","2014.2/4","2014.1/4","2013.4/4","2013.3/4","2013.2/4","2013.1/4","2012.4/4","2012.3/4","2012.2/4","2012.1/4","2011.4/4","2011.3/4","2011.2/4","2011.1/4","2010.4/4","2010.3/4","2010.2/4","2010.1/4","2009.4/4","2009.3/4","2009.2/4","2009.1/4","2008.4/4","2008.3/4","2008.2/4","2008.1/4","2007.4/4","2007.3/4","2007.2/4","2007.1/4","2006.4/4","2006.3/4","2006.2/4","2006.1/4","2005.4/4","2005.3/4","2005.2/4","2005.1/4","2004.4/4","2004.3/4","2004.2/4","2004.1/4","2003.4/4","2003.3/4","2003.2/4","2003.1/4","2002.4/4","2002.3/4","2002.2/4","2002.1/4","2001.4/4","2001.3/4","2001.2/4","2001.1/4","2000.4/4","2000.3/4","2000.2/4","2000.1/4","1999.4/4","1999.3/4","1999.2/4","1999.1/4","1998.4/4","1998.3/4","1998.2/4","1998.1/4","1997.4/4","1997.3/4","1997.2/4","1997.1/4","1996.4/4","1996.3/4","1996.2/4","1996.1/4","1995.4/4","1995.3/4","1995.2/4","1995.1/4","1994.4/4","1994.3/4","1994.2/4","1994.1/4","1993.4/4","1993.3/4","1993.2/4","1993.1/4","1992.4/4","1992.3/4","1992.2/4","1992.1/4","1991.4/4","1991.3/4","1991.2/4","1991.1/4","1990.4/4","1990.3/4","1990.2/4","1990.1/4","1989.4/4","1989.3/4","1989.2/4","1989.1/4","1988.4/4","1988.3/4","1988.2/4","1988.1/4","1987.4/4","1987.3/4","1987.2/4","1987.1/4","1986.4/4","1986.3/4","1986.2/4","1986.1/4","1985.4/4","1985.3/4","1985.2/4","1985.1/4","1984.4/4","1984.3/4","1984.2/4","1984.1/4","1983.4/4","1983.3/4","1983.2/4","1983.1/4","1982.4/4","1982.3/4","1982.2/4","1982.1/4","1981.4/4","1981.3/4","1981.2/4","1981.1/4","1980.4/4","1980.3/4","1980.2/4","1980.1/4","1979.4/4","1979.3/4","1979.2/4","1979.1/4","1978.4/4","1978.3/4","1978.2/4","1978.1/4","1977.4/4","1977.3/4","1977.2/4","1977.1/4","1976.4/4","1976.3/4","1976.2/4","1976.1/4","1975.4/4","1975.3/4","1975.2/4","1975.1/4","1974.4/4","1974.3/4","1974.2/4","1974.1/4","1973.4/4","1973.3/4","1973.2/4","1973.1/4","1972.4/4","1972.3/4","1972.2/4","1972.1/4","1971.4/4","1971.3/4","1971.2/4","1971.1/4","1970.4/4","1970.3/4","1970.2/4","1970.1/4",
"전국","총전입[명]","명","1397761","1540231","1427168","1752624","1511021","1486440","1471140","1814718","1514768","1470262","1426239","1717469","1430127","1435550","1482857","1803621","1725589","1719458","1694047","2074328","1932238","1819144","1790174","2193935","1805598","1647014","1640781","2011005","1869323","1622824","1737134","2067818","1741351","1762329","1651196","1999350","1934545","1732492","1720724","1990669","2003794","1796298","1905576","2049618","1981575","1749416","1851476","2046631","1961587","1628917","1828704","1992576","1940943","1649367","1797670","2118711","2026621","1873002","1976084","2251488","2096655","1810990","2021782","2297167","2129882","2025960","2060457","2270976","2044324","2007780","2231774","2524378","2416378","1938858","2107976","2606890","2493389","2009172","2261763","2577750","2248889","2046839","2200074","2299595","2201506","1864402","2043623","2458264","2508494","2137127","2444932","2426052","2471707","2065962","2466819","2579973","2446874","2117858","2383505","2341712","2335072","1910438","2336262","2427669","2350140","2103526","2525439","2456242","2181497","1919446","1947361","2108014","2310501","1854317","2304871","2350220","2429499","1868039","2343796","2213639","2411646","1899761","2648974","2112688","2528069","1843135","2328821","2091689","2197802","2004941","2420721","2183594","2514978","1895290","2407274","2214034","2235741","1953527","2473124","2318449","2316884","2209464","2680204","2252657","2241141","1919893","2823059","2332126","2438526","2110346","2991963","2428185","2433417","2197905","2685960","1991468","2375375","1746512","2563244","1975297","2222727","1789567","2592000","2074803","2616395","1852007","2445644","2129192","2777787","1983583","2847582","2186859","2259949","1914328","2331092","2111105","2090585","1796188","2233552","2074191","2032066","2243025","2086699","1896783","1828133","1616484","2032100","1847663","2201437","1889594","2455648","1863597","1920610","1702398","2157658","1616957","1614184","1472571","2024754","1661741","2007961","3939084","1553252","1511143","1209528","1599762","1251182","1237497","1015258","1247110","1258894","1339156","918228","870480","892535","1006695","792230","913083","1031862","1472989","1201816","1009705","949581","885434",
"전국","총전출[명]","명","1397761","1540231","1427168","1752624","1511021","1486440","1471140","1814718","1514768","1470262","1426239","1717469","1430127","1435550","1482857","1803621","1725589","1719458","1694047","2074328","1932238","1819144","1790174","2193935","1805598","1647014","1640781","2011005","1869323","1622824","1737134","2067818","1741351","1762329","1651196","1999350","1934545","1732492","1720724","1990669","2003794","1796298","1905576","2049618","1981575","1749416","1851476","2046631","1961587","1628917","1828704","1992576","1940943","1649367","1797670","2118711","2026621","1873002","1976084","2251488","2096655","1810990","2021782","2297167","2129882","2025960","2060457","2270976","2044324","2007780","2231774","2524378","2416378","1938858","2107976","2606890","2493389","2009172","2261763","2577750","2248889","2046839","2200074","2299595","2201506","1864402","2043623","2458264","2508494","2137127","2444932","2426052","2471707","2065962","2466819","2579973","2446874","2117858","2383505","2341712","2335072","1910438","2336262","2427669","2350140","2103526","2525439","2456242","2181497","1919446","1947361","2108014","2310501","1854317","2304871","2350220","2429499","1868039","2343796","2213639","2411646","1899761","2648974","2112688","2528069","1843135","2328821","2091689","2197802","2004941","2420721","2183594","2514978","1895290","2407274","2214034","2235741","1953527","2473124","2318449","2316884","2209464","2680204","2252657","2241141","1919893","2823059","2332126","2438526","2110346","2991963","2428185","2433417","2197905","2685960","1991468","2375375","1746512","2563244","1975297","2222727","1789567","2592000","2074803","2616395","1852007","2445644","2129192","2777787","1983583","2847582","2186859","2259949","1914328","2331092","2111105","2090585","1796188","2233552","2074191","2032066","2243025","2086699","1896783","1828133","1616484","2032100","1847663","2201437","1889594","2455648","1863597","1920610","1702398","2157658","1616957","1614184","1472571","2024754","1661741","2007961","3939084","1553252","1511143","1209528","1599762","1251182","1237497","1015258","1247110","1258894","1339156","918228","870480","892535","1006695","792230","913083","1031862","1472989","1201816","1009705","949581","885434",
"전국","순이동[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","시도내이동-시군구내[명]","명","503402","522211","511293","558926","564534","541626","549518","585859","558078","532979","515917","547765","520230","511355","544002","597961","655119","619738","646634","727617","740330","701090","703411","781575","691249","623459","640616","704502","737590","618726","687835","732530","678428","688298","642048","692626","767675","674446","685043","713131","797064","706997","775067","734892","792142","684852","747521","733352","787838","632967","740907","702316","749697","627675","710047","740579","797662","718296","796467","831304","826495","677543","788908","811850","826654","761951","799599","794822","774221","752093","878973","916624","918761","717320","809098","945342","963303","760157","881937","941719","858568","757490","845418","817556","820512","683736","769531","854217","941080","800598","945492","850880","939745","767899","978229","936738","921480","777673","914160","824373","876647","694409","873269","854955","885221","751286","940854","868527","813136","684683","693352","726698","848338","654455","861134","811832","923399","678825","875493","772672","927983","702560","1010373","744885","1782759","1274914","1611157","1383195","1512465","1355359","1653207","1422360","1763283","1281738","1651337","1475458","1534893","1308159","1652734","1527213","1559559","1465995","1783390","1419137","1477726","1240921","1929907","1478059","1665922","1408585","2041747","1500276","1620378","1434719","1803214","1207074","1580470","1125186","1723440","1210043","1507452","1179721","1760008","1306619","1770736","1236478","1681660","1344960","1853521","1342723","1966010","1422519","1577195","1283877","1603405","1341776","1427095","1187876","1487978","1298118","1393447","1542231","1459162","1258096","1284021","1098985","1399275","1192550","1500615","1328187","1755063","1283614","1399965","1203793","1537515","1092785","1144427","1002403","1382359","1091108","1366148","2635292","1105398","1036648","840619","1127924","878352","862448","729473","912634","874790","918676","664513","632816","616941","705097","544945","622209","689490","1021447","","","","",
"전국","시도내이동-시군구간 전입[명]","명","420565","460255","431244","523975","453606","440566","432742","540341","462601","442989","425411","500123","421233","420580","433805","529384","502597","503823","495353","615307","573434","539221","518023","644293","528319","476817","470536","583952","535798","463875","491246","600315","501878","500275","462752","576991","554440","492322","480678","557353","562936","509306","539160","578440","550771","498297","522578","591789","560065","466447","521951","575864","560055","473009","511557","621332","598708","547413","569723","663109","626419","539838","600125","693123","640395","613746","619891","701245","632678","615137","672870","773509","733929","590597","633468","799584","759872","607421","693811","787185","682742","629422","677688","711234","676565","572990","631217","765288","783879","661471","768540","756884","776287","637457","758353","794938","770394","670922","745208","733722","751905","607698","740697","764030","757004","652433","790606","764632","688302","600689","609300","661529","744238","588392","730769","742309","770394","585856","725159","687086","750443","583978","833950","653958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","시도내이동-시군구간 전출[명]","명","420565","460255","431244","523975","453606","440566","432742","540341","462601","442989","425411","500123","421233","420580","433805","529384","502597","503823","495353","615307","573434","539221","518023","644293","528319","476817","470536","583952","535798","463875","491246","600315","501878","500275","462752","576991","554440","492322","480678","557353","562936","509306","539160","578440","550771","498297","522578","591789","560065","466447","521951","575864","560055","473009","511557","621332","598708","547413","569723","663109","626419","539838","600125","693123","640395","613746","619891","701245","632678","615137","672870","773509","733929","590597","633468","799584","759872","607421","693811","787185","682742","629422","677688","711234","676565","572990","631217","765288","783879","661471","768540","756884","776287","637457","758353","794938","770394","670922","745208","733722","751905","607698","740697","764030","757004","652433","790606","764632","688302","600689","609300","661529","744238","588392","730769","742309","770394","585856","725159","687086","750443","583978","833950","653958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","시도간전입[명]","명","473794","557765","484631","669723","492881","504248","488880","688518","494089","494294","484911","669581","488664","503615","505050","676276","567873","595897","552060","731404","618474","578833","568740","768067","586030","546738","529629","722551","595935","540223","558053","734973","561045","573756","546396","729733","612430","565724","555003","720185","643794","579995","591349","736286","638662","566267","581377","721490","613684","529503","565846","714396","631191","548683","576066","756800","630251","607293","609894","757075","643741","593609","632749","792194","662833","650263","640967","774909","637425","640550","679931","834245","763688","630941","665410","861964","770214","641594","686015","848846","707579","659927","676968","770805","704429","607676","642875","838759","783535","675058","730900","818288","755675","660606","730237","848297","755000","669263","724137","783617","706520","608331","722296","808684","707915","699807","793979","823083","680059","634074","644709","719787","717925","611470","712968","796079","735706","603358","743144","753881","733220","613223","804651","713845","745310","568221","717664","708494","685337","649582","767514","761234","751695","613552","755937","738576","700848","645368","820390","791236","757325","743469","896814","833520","763415","678972","893152","854067","772604","701761","950216","927909","813039","763186","882746","784394","794905","621326","839804","765254","715275","609846","831992","768184","845659","615529","763984","784232","924266","640860","881572","764340","682754","630451","727687","769329","663490","608312","745574","776073","638619","700794","627537","638687","544112","517499","632825","655113","700822","561407","700585","579983","520645","498605","620143","524172","469757","470168","642395","570633","641813","1303792","447854","474495","368909","471838","372830","375049","285785","334476","384104","420480","253715","237664","275594","301598","247285","290874","342372","451542","","","","",
"전국","시도간전출[명]","명","473794","557765","484631","669723","492881","504248","488880","688518","494089","494294","484911","669581","488664","503615","505050","676276","567873","595897","552060","731404","618474","578833","568740","768067","586030","546738","529629","722551","595935","540223","558053","734973","561045","573756","546396","729733","612430","565724","555003","720185","643794","579995","591349","736286","638662","566267","581377","721490","613684","529503","565846","714396","631191","548683","576066","756800","630251","607293","609894","757075","643741","593609","632749","792194","662833","650263","640967","774909","637425","640550","679931","834245","763688","630941","665410","861964","770214","641594","686015","848846","707579","659927","676968","770805","704429","607676","642875","838759","783535","675058","730900","818288","755675","660606","730237","848297","755000","669263","724137","783617","706520","608331","722296","808684","707915","699807","793979","823083","680059","634074","644709","719787","717925","611470","712968","796079","735706","603358","743144","753881","733220","613223","804651","713845","745310","568221","717664","708494","685337","649582","767514","761234","751695","613552","755937","738576","700848","645368","820390","791236","757325","743469","896814","833520","763415","678972","893152","854067","772604","701761","950216","927909","813039","763186","882746","784394","794905","621326","839804","765254","715275","609846","831992","768184","845659","615529","763984","784232","924266","640860","881572","764340","682754","630451","727687","769329","663490","608312","745574","776073","638619","700794","627537","638687","544112","517499","632825","655113","700822","561407","700585","579983","520645","498605","620143","524172","469757","470168","642395","570633","641813","1303792","447854","474495","368909","471838","372830","375049","285785","334476","384104","420480","253715","237664","275594","301598","247285","290874","342372","451542","","","","",
"서울특별시","총전입[명]","명","273521","322709","291548","357150","296071","292369","275199","357741","292943","299300","280039","334681","263720","280969","291090","365748","327776","347297","335146","407968","377462","367337","367234","466094","368876","325849","320838","410930","374985","322142","343860","398720","335085","366290","352300","419262","395886","360315","360170","399231","400857","371553","405502","411519","399531","371001","388422","414640","390728","340600","380973","407789","399840","340329","381380","433732","412380","406859","428850","473659","434591","390218","437057","471149","444517","460158","470561","497952","460228","476801","543506","544823","538187","439590","502919","597349","600645","474367","534527","564368","503009","483848","519270","484622","464441","418435","492940","550419","583658","524640","589428","544997","585687","513527","611419","607418","593726","546496","605236","550326","573421","492407","589240","564339","570952","533501","679121","554415","504541","445417","424596","428377","525107","431856","573394","544527","574065","449300","615864","520326","561744","456938","668720","477930","607409","454191","651612","526874","550375","492316","659240","557402","681062","495621","667237","551894","600458","499454","718230","619096","668860","627913","818636","611083","680677","580474","1012167","775799","853892","753927","1090152","690416","789262","628396","892689","543051","756550","533648","870861","521954","715015","563607","924708","581057","881246","618514","894162","658636","964781","713500","1105984","649919","834906","691591","859006","612351","745126","635063","826130","653541","715438","757721","740485","554172","674109","549097","779659","586802","889520","783085","997253","637581","839659","670623","856571","526550","665937","602230","885492","602851","797386","1343076","707947","548253","494546","564516","524699","466631","424702","422865","503768","480523","336359","294767","349463","368744","321193","377584","409301","563627","516861","455079","422266","348607",
"서울특별시","총전출[명]","명","288617","330460","301599","351021","311024","305957","292482","356609","307726","304382","290990","335115","283975","287578","300148","365166","356948","371962","361481","434039","408394","391344","380992","462247","382630","345802","338009","409640","406631","348472","373747","421087","375231","396855","371310","428027","439152","398741","394850","423116","446857","409073","442673","428084","430369","390309","412860","427887","425010","362937","407939","424754","437144","366498","406288","448998","447433","435365","459567","492441","471228","414307","469603","492900","481296","475843","479088","489225","474577","494817","568664","545294","561606","451006","521595","596721","626086","479747","547619","557006","523219","495484","538972","484081","495567","431427","504790","541655","615436","540891","612013","543351","614392","542929","653497","613654","633597","573840","648979","553317","604550","496572","602415","562809","592681","540629","707783","578018","542787","479675","455554","458928","572603","475614","621106","583880","632458","494052","680600","563682","649961","529335","756408","551526","701981","515414","712420","546768","590196","538014","714336","599419","728148","525887","695929","550734","617709","512033","736040","608335","677220","639533","884738","615993","690881","561383","993185","694024","817702","705652","1052525","623952","758746","617691","881922","510640","772045","538701","872387","505703","723894","557760","922758","549611","861154","601556","859355","597747","918699","685213","1085422","603019","810062","654208","825949","575775","718795","605059","783962","603662","676003","708554","703062","515293","662781","530148","739911","508402","800496","737658","918532","572225","779863","623713","797863","476568","627791","550886","793822","523121","677616","1154982","632625","471870","441939","500853","468495","408373","388446","380695","457141","420986","318390","269498","308841","313830","277088","321696","350429","469803","464637","388006","342516","253826",
