"전출지별","전입지별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년","1999 년","1998 년","1997 년","1996 년","1995 년","1994 년","1993 년","1992 년","1991 년","1990 년","1989 년","1988 년","1987 년","1986 년","1985 년","1984 년","1983 년","1982 년","1981 년","1980 년","1979 년","1978 년","1977 년","1976 년","1975 년","1974 년","1973 년","1972 년","1971 년","1970 년",
"전국","전국","이동자수[명]","명","6117784","6283319","6128738","6152155","7213422","7735491","7104398","7297099","7154226","7378430","7755286","7629098","7411784","7506691","8127195","8226594","8487275","8808256","9070102","9342074","8795397","8567795","9516605","9584461","9289949","9009441","9435347","8156318","8819909","8854973","9073069","8791714","8807058","9031576","8980841","9459209","9316219","9969020","9308750","8660428","8679097","9043238","9795811","8616474","8194516","8258573","7324380","8410276","7397623","6773250","9011440","5297969","4860418","3687938","4210164","4046536",
"전국","전국","순이동자수[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","서울특별시","이동자수[명]","명","1244928","1221380","1206963","1201527","1418187","1578127","1426493","1439707","1472937","1515602","1589431","1573594","1520090","1555281","1721748","1733015","1873188","2025358","2078045","2173907","1990749","1926235","2242723","2318051","2295784","2219407","2337989","1802931","2074884","2159555","2165332","2240086","2259333","2395814","2437238","2726492","3049117","3388387","2853398","2683013","2784387","3052558","3434184","2997854","2859860","2767816","2589667","3307439","2893403","2756510","3396662","2050392","1831858","1349333","1671705","1742813",
"전국","서울특별시","순이동자수[명]","명","-26769","-44692","-31250","-35340","-106243","-64850","-49588","-110230","-98486","-140257","-137256","-87831","-100550","-103647","-113058","-115023","-52264","-57994","-52883","-36551","-51007","-47204","-68968","-106421","-113949","-46939","-81122","-134013","-178319","-211237","-321898","-236497","-182632","-104884","-36879","-90992","109644","188556","84399","-5823","30364","132746","141831","131860","148382","164904","148425","278528","215396","260890","459569","230732","184590","138774","252689","293828",
"전국","부산광역시","이동자수[명]","명","362416","378597","364271","383848","441323","491829","411704","416095","439073","459015","507031","485710","478451","461042","508043","519334","519310","514502","529343","559915","552771","539108","625355","600936","604650","595975","660060","602418","641886","679854","676037","668188","708358","771852","741748","761684","790991","892506","918310","831658","821207","872967","919150","932367","852671","904252","809483","895337","785117","724664","805979","680984","482061","362202","389797","448577",
"전국","부산광역시","순이동자수[명]","명","-12181","-13657","-11432","-13562","-18903","-14347","-23354","-26759","-28398","-21392","-13560","-15092","-17710","-20610","-24863","-28466","-29784","-34604","-36076","-34686","-36975","-33229","-42263","-49442","-41188","-43694","-33357","-40921","-44437","-47245","-54909","-57475","-58925","-51995","-35548","-35860","-6658","23225","31129","31965","13455","22478","6157","13555","25771","51134","75430","112359","88997","95499","111534","126971","67400","42842","61430","72518",
"전국","대구광역시","이동자수[명]","명","268468","303544","296291","265354","304761","347248","312419","321158","321182","328228","351424","350213","351873","348642","370563","370817","398626","409938","399853","428417","440350","418278","487515","466894","448898","477595","496811","462722","485263","507085","534013","545677","524585","558826","525249","526547","539730","579187","590786","533854","539361","552902","607848","553068","514009","","","","","","","","","","","",
"전국","대구광역시","순이동자수[명]","명","-4272","-4712","-5288","-11519","-24319","-16835","-23673","-14242","-11936","-9260","-12940","-15526","-11351","-10564","-12747","-11840","-12662","-12738","-16545","-25659","-24950","-13327","-3056","-9641","-14233","-3352","-6867","-11838","-14527","-21740","-3279","6935","-177","676","2464","-1477","22640","21072","20683","20273","20801","27759","25436","31951","32475","","","","","","","","","","","",
"전국","인천광역시","이동자수[명]","명","395525","397818","424127","395140","433137","444556","420014","433639","409465","441646","473223","452297","461613","468666","499567","462051","478169","565585","576619","523457","502168","462835","510347","540812","526842","531318","494576","447707","512513","482811","481438","506471","505825","509700","503687","567863","472576","476438","434814","382620","409361","425509","398906","333362","332958","","","","","","","","","","","",
"전국","인천광역시","순이동자수[명]","명","32264","25643","33507","28101","11423","-15748","-2337","-67","-1670","5777","9538","9324","22035","27794","28809","3612","2098","9419","22721","9618","10965","-1335","-16171","230","1117","13165","1810","20811","27040","12338","18556","36861","39663","59381","80398","116685","66414","46964","45184","30979","42113","45638","27989","10018","36107","","","","","","","","","","","",
"전국","광주광역시","이동자수[명]","명","162873","172439","162916","182924","212888","226163","217130","218892","208138","213176","224603","243066","226696","228612","260561","268574","293879","268757","286105","301479","290429","284734","304505","294120","300467","301498","324045","295529","328978","298679","307188","312343","300357","346330","356080","330810","308307","336312","257011","254634","","","","","","","","","","","","","","","","",
"전국","광주광역시","순이동자수[명]","명","-13678","-7962","-9017","-7642","-5883","-6083","-3875","-6216","-8118","-7898","-9272","-2977","-2592","-1825","1279","3531","3108","447","-4143","-2730","-7333","-3148","-9687","4355","-121","-14","2853","2513","7425","90","-4021","10164","8381","21537","36037","28477","29175","22890","7381","15848","","","","","","","","","","","","","","","","",
"전국","대전광역시","이동자수[명]","명","207372","195980","186084","198705","211565","232321","212424","212879","211449","219252","220774","239559","230858","239635","264244","262432","252424","263532","283080","294814","287835","280028","304736","302944","304985","312560","322783","267578","295198","287663","314804","315639","335871","295662","310452","296756","256234","","","","","","","","","","","","","","","","","","","",
"전국","대전광역시","순이동자수[명]","명","2824","-1693","-2474","-2996","-8931","-11097","-16342","-14753","-16175","-10631","-20616","-8838","311","499","3344","-1045","-5758","-5610","-1048","2315","3210","2616","5826","8555","6840","8576","9609","12093","9594","14918","17750","30484","38030","24130","36615","33463","26179","","","","","","","","","","","","","","","","","","","",
"전국","울산광역시","이동자수[명]","명","114205","113332","116641","107747","129880","136112","142056","127922","135199","148190","170393","176015","159492","161433","164963","161146","159953","181662","180375","174389","169681","184499","191255","176413","170587","166690","179485","164160","185987","0","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","울산광역시","순이동자수[명]","명","-5474","-4854","-6215","-9536","-13674","-13584","-10172","-12654","-11917","-7622","-80","2786","2307","4006","1872","-3525","-5031","3906","-992","-2411","-392","1764","1872","2625","5988","3216","-1900","-5568","3838","0","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","세종특별자치시","이동자수[명]","명","54355","61022","56050","65529","76912","78934","82398","86433","82073","65052","83994","56526","23805","32784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","세종특별자치시","순이동자수[명]","명","-47","2808","1690","10128","14085","13025","23724","31433","34690","29816","53044","33456","8696","17493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","경기도","이동자수[명]","명","1628873","1726287","1681183","1645990","2036215","2152572","1940962","2041715","1888324","1958593","1993080","1891775","1895434","1944962","2062422","2168820","2175681","2195585","2306957","2459641","2197321","2079220","2304535","2449422","2256103","2042327","2079470","1707411","1950705","1905357","1952466","1807997","1711603","1564272","1472190","1609933","1447161","1450813","1388645","1297795","1211995","1146201","1253162","971778","806192","1085764","984187","985879","880019","770036","1006818","579194","542224","418045","533375","452060",
"전국","경기도","순이동자수[명]","명","32970","64218","44612","43882","150517","168373","134666","170094","116162","133617","94768","57396","74131","82753","75799","142437","94153","100597","113100","138633","168851","188875","222043","315782","248947","184026","174134","122488","213748","252669","372514","322077","294498","214871","177062","250511","151184","78842","191452","256297","234194","205223","257309","177836","102913","137448","197916","168318","126455","124094","181560","94597","87798","35100","121277","98525",
"전국","강원특별자치도","이동자수[명]","명","182825","184339","173366","194864","217103","223354","217626","216398","211653","223484","227125","228369","217917","225896","236077","241738","249191","252193","245182","254508","245689","252902","269296","266880","256767","255403","277214","262688","254242","240874","263349","234353","234899","240866","252140","249409","252860","254715","267082","266248","271814","283921","306128","276861","280036","293328","233897","264577","246070","239946","326365","184385","241663","161637","183964","160959",
"전국","강원특별자치도","순이동자수[명]","명","-1387","-2527","-1397","7494","6681","5457","1661","-3854","2035","1892","4773","2085","2986","712","4653","555","1818","1310","-6146","-9560","-11473","-8342","-13063","-17181","-8113","-11134","-3798","8890","-922","-7870","-9350","-18471","-24586","-24845","-38030","-47637","-57933","-52482","-45132","-33499","-28504","-42202","-44683","-29808","-22376","-24510","-50280","-50777","-45713","-41882","-60210","-49300","-35802","-30734","-34994","-36222",
"전국","충청북도","이동자수[명]","명","199201","189758","186341","185419","214300","229895","211396","218886","197177","202679","214626","215944","215973","212263","228594","235671","232872","244672","253433","245977","235907","231167","246415","243571","230828","235155","255180","232414","252139","234598","249033","227781","242162","244908","258597","263415","224484","225487","223845","222294","226908","222296","230425","207913","199751","227621","167420","182753","163716","164008","246251","125958","122988","99573","111901","100041",
"전국","충청북도","순이동자수[명]","명","10789","3245","3873","5201","3462","3454","2565","5149","2262","5011","1438","2367","3113","4641","8079","5964","2521","6913","5692","1750","-4708","-5817","-6081","-8202","-8528","-4404","-1446","5542","4924","5624","3771","-3569","1684","28","-11131","-17579","-29026","-33900","-34712","-28581","-33530","-45698","-44999","-40296","-37673","-38585","-56244","-84617","-56369","-49003","-78248","-40750","-33921","-24957","-44692","-47875",
"전국","충청남도","이동자수[명]","명","251857","266831","266056","260488","282195","287127","258790","292305","288738","286764","289952","289627","281428","287195","321187","317853","329626","355294","355213","336866","325444","364482","312739","274820","266541","265599","280280","262993","283331","258224","253838","214126","221321","205298","221453","225074","218897","479092","453191","429259","434868","461768","466795","397886","384250","405973","327162","384579","341491","292314","482034","217167","239750","190175","205632","192979",
