"행정구역별","각세별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년",
"전국","계","총전입","","6117784","6283319","6128738","6152155","7213422","7735491","7104398","7297099","7154226","7378430","7755286","7629098","7411784","7506691","8127195","8226594","8487275","8808256","9070102","9342074","8795397","8567795","9516605","9584461","9289949",
"전국","계","총전출","","6117784","6283319","6128738","6152155","7213422","7735491","7104398","7297099","7154226","7378430","7755286","7629098","7411784","7506691","8127195","8226594","8487275","8808256","9070102","9342074","8795397","8567795","9516605","9584461","9289949",
"전국","계","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","계","시군구내","","2095832","2241537","2154739","2173548","2649108","2926406","2659826","2776681","2701400","2840295","3014020","2957867","2864028","2827998","3143729","3104796","3183026","3321911","3390521","3547116","3279032","3127996","3536987","3622611","3437686",
"전국","계","시군구간전입","","1836039","1867255","1831457","1805002","2117080","2274971","2059624","2091234","2041896","2084793","2189842","2163435","2124327","2165953","2378953","2459505","2575277","2694194","2757578","2848289","2701086","2646060","2971837","2967035","2920246",
"전국","계","시군구간전출","","1836039","1867255","1831457","1805002","2117080","2274971","2059624","2091234","2041896","2084793","2189842","2163435","2124327","2165953","2378953","2459505","2575277","2694194","2757578","2848289","2701086","2646060","2971837","2967035","2920246",
"전국","계","시도간전입","","2185913","2174527","2142542","2173605","2447234","2534114","2384948","2429184","2410930","2453342","2551424","2507796","2423429","2512740","2604513","2662293","2728972","2792151","2922003","2946669","2815279","2793739","3007781","2994815","2932017",
"전국","계","시도간전출","","2185913","2174527","2142542","2173605","2447234","2534114","2384948","2429184","2410930","2453342","2551424","2507796","2423429","2512740","2604513","2662293","2728972","2792151","2922003","2946669","2815279","2793739","3007781","2994815","2932017",
"전국","0세","총전입","","48756","50774","47538","43357","51598","62233","64729","74138","78659","88509","94245","95451","101250","102223","112697","106043","111010","119515","111587","111010","106848","107776","124853","158126","155111",
"전국","0세","총전출","","48756","50774","47538","43357","51598","62233","64729","74138","78659","88509","94245","95451","101250","102223","112697","106043","111010","119515","111587","111010","106848","107776","124853","158126","155111",
"전국","0세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","0세","시군구내","","19105","20953","18541","16642","20152","24469","25170","29171","30262","34402","36789","37528","38655","38605","42636","39194","41198","43682","40895","41103","38758","38506","45026","59230","55606",
"전국","0세","시군구간전입","","16552","16652","16251","14163","16744","19884","20187","22425","23797","26914","28305","28681","30733","31278","35110","33725","35988","38798","36170","36229","35054","35728","41530","51117","50881",
"전국","0세","시군구간전출","","16552","16652","16251","14163","16744","19884","20187","22425","23797","26914","28305","28681","30733","31278","35110","33725","35988","38798","36170","36229","35054","35728","41530","51117","50881",
"전국","0세","시도간전입","","13099","13169","12746","12552","14702","17880","19372","22542","24600","27193","29151","29242","31862","32340","34951","33124","33824","37035","34522","33678","33036","33542","38297","47779","48624",
"전국","0세","시도간전출","","13099","13169","12746","12552","14702","17880","19372","22542","24600","27193","29151","29242","31862","32340","34951","33124","33824","37035","34522","33678","33036","33542","38297","47779","48624",
"전국","1세","총전입","","43900","50522","49784","45303","56228","69982","71274","83228","89142","95850","99010","106545","107902","107441","111355","112717","125616","121970","117365","125299","127846","120497","146051","263144","177062",
"전국","1세","총전출","","43900","50522","49784","45303","56228","69982","71274","83228","89142","95850","99010","106545","107902","107441","111355","112717","125616","121970","117365","125299","127846","120497","146051","263144","177062",
"전국","1세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","1세","시군구내","","17778","21007","19978","17451","22532","28745","29200","33604","34909","38155","40479","43125","43118","41936","44056","43124","48570","46335","44189","47719","47860","44378","53827","98451","65162",
"전국","1세","시군구간전입","","14441","16148","16201","14282","17263","21511","21151","24736","26472","28280","28948","31634","31667","31756","33829","35058","39697","38504","37230","40369","41523","38828","47458","84071","57016",
"전국","1세","시군구간전출","","14441","16148","16201","14282","17263","21511","21151","24736","26472","28280","28948","31634","31667","31756","33829","35058","39697","38504","37230","40369","41523","38828","47458","84071","57016",
"전국","1세","시도간전입","","11681","13367","13605","13570","16433","19726","20923","24888","27761","29415","29583","31786","33117","33749","33470","34535","37349","37131","35946","37211","38463","37291","44766","80622","54884",
"전국","1세","시도간전출","","11681","13367","13605","13570","16433","19726","20923","24888","27761","29415","29583","31786","33117","33749","33470","34535","37349","37131","35946","37211","38463","37291","44766","80622","54884",
"전국","2세","총전입","","35684","43988","44882","41722","53730","65291","65646","78485","77565","80169","90346","94354","92917","87065","98491","106807","109399","105456","111989","127481","120387","121169","159191","159440","165388",
"전국","2세","총전출","","35684","43988","44882","41722","53730","65291","65646","78485","77565","80169","90346","94354","92917","87065","98491","106807","109399","105456","111989","127481","120387","121169","159191","159440","165388",
"전국","2세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","2세","시군구내","","14519","18609","18638","16677","22252","27519","27526","32825","31570","32955","37885","39463","38206","35045","39774","42132","43055","40977","43010","49572","45616","44646","59142","61029","60744",
"전국","2세","시군구간전입","","11758","13801","13994","12855","16103","19332","19073","22782","22390","22824","25565","26830","26678","24869","29135","32181","33805","32586","34830","39958","38250","38386","50827","49660","52273",
"전국","2세","시군구간전출","","11758","13801","13994","12855","16103","19332","19073","22782","22390","22824","25565","26830","26678","24869","29135","32181","33805","32586","34830","39958","38250","38386","50827","49660","52273",
"전국","2세","시도간전입","","9407","11578","12250","12190","15375","18440","19047","22878","23605","24390","26896","28061","28033","27151","29582","32494","32539","31893","34149","37951","36521","38137","49222","48751","52371",
"전국","2세","시도간전출","","9407","11578","12250","12190","15375","18440","19047","22878","23605","24390","26896","28061","28033","27151","29582","32494","32539","31893","34149","37951","36521","38137","49222","48751","52371",
"전국","3세","총전입","","38757","44785","45798","44039","55993","70004","70690","76682","72363","79919","88374","89645","81671","81048","97095","93598","93992","99220","111750","119058","121140","132400","160214","155942","165669",
"전국","3세","총전출","","38757","44785","45798","44039","55993","70004","70690","76682","72363","79919","88374","89645","81671","81048","97095","93598","93992","99220","111750","119058","121140","132400","160214","155942","165669",
"전국","3세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","3세","시군구내","","16068","19693","19274","17983","24087","30510","30354","32845","30429","34420","38401","38620","35046","33710","40857","38190","38694","40197","44615","47771","47288","50029","60315","60920","61710",
