"기본항목별",2025 p),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
"출생아수(명)",254457,238317,230028,249186,260562,272337,302676,326822,357771,406243,438420,435435,436455,484550,471265,470171,444849,465892,496822,451759,438707,476958,495036,496911,559934,640089,620668,641594,675394,691226,715020,721185,715826,730678,709275,649738,639431,633092,623831,636019,655489,674793,769155,848312,867409,862835,862669,750728,825339,796331,874030,922823,965521,952780,1024773,1006645
"사망자수(명)",363389,358569,352511,372939,317680,304948,295110,298820,285534,280827,275895,267692,266257,267221,257396,255405,246942,246113,246482,244162,245874,246220,246463,247524,243813,248740,247734,245825,244693,241149,242838,242439,234257,236162,242270,241616,236818,235779,243504,239256,240418,236445,254563,245767,237481,277284,239986,252298,249254,266857,270657,248807,267460,210071,237528,258589
"자연증가건수(명)",-108931,-120252,-122483,-123753,-57118,-32611,7566,28002,72237,125416,162525,167743,170198,217329,213869,214766,197907,219779,250340,207597,192833,230738,248573,249387,316121,391349,372934,395769,430701,450077,472182,478746,481569,494516,467005,408122,402613,397313,380327,396763,415071,438348,514592,602545,629928,585551,622683,498430,576085,529474,603373,674016,698061,742709,787245,748056
"조출생률(천명당)",5.0,4.7,4.5,4.9,5.1,5.3,5.9,6.4,7.0,7.9,8.6,8.6,8.6,9.6,9.4,9.4,9.0,9.4,10.1,9.2,9.0,9.8,10.2,10.3,11.7,13.5,13.2,13.7,14.5,15.0,15.7,16.0,16.0,16.7,16.4,15.2,15.1,15.1,15.0,15.4,16.1,16.7,19.3,21.6,22.4,22.6,23.0,20.3,22.7,22.2,24.8,26.6,28.3,28.4,31.2,31.2
"조사망률(천명당)",7.1,7.0,6.9,7.3,6.2,5.9,5.7,5.8,5.6,5.5,5.4,5.3,5.3,5.3,5.1,5.1,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.2,5.3,5.2,5.3,5.2,5.3,5.4,5.2,5.4,5.6,5.6,5.6,5.6,5.9,5.8,5.9,5.9,6.4,6.2,6.1,7.3,6.4,6.8,6.8,7.4,7.7,7.2,7.8,6.3,7.2,8.0
"자연증가율(천명당)",-2.1,-2.4,-2.4,-2.4,-1.1,-0.6,0.1,0.5,1.4,2.5,3.2,3.3,3.4,4.3,4.3,4.3,4.0,4.4,5.1,4.2,4.0,4.8,5.1,5.2,6.6,8.2,7.9,8.4,9.3,9.8,10.3,10.6,10.8,11.3,10.8,9.5,9.5,9.5,9.1,9.6,10.2,10.8,12.9,15.3,16.3,15.4,16.6,13.5,15.8,14.8,17.1,19.4,20.5,22.2,23.9,23.2
"합계출산율(명)",0.800,0.748,0.721,0.778,0.808,0.837,0.918,0.977,1.052,1.172,1.239,1.205,1.187,1.297,1.244,1.226,1.149,1.192,1.259,1.132,1.085,1.164,1.191,1.178,1.309,1.480,1.425,1.464,1.537,1.574,1.634,1.656,1.654,1.760,1.710,1.570,1.560,1.550,1.530,1.580,1.660,1.740,2.060,2.390,2.570,2.820,2.900,2.640,2.990,3.000,3.430,3.770,4.070,4.120,4.540,4.530
"출생성비(명)",105.8,105.0,105.1,104.7,105.1,104.8,105.5,105.4,106.3,105.0,105.3,105.3,105.3,105.7,105.7,106.9,106.4,106.4,106.2,107.6,107.8,108.2,108.6,109.9,109.0,110.1,109.5,110.1,108.2,111.5,113.2,115.2,115.3,113.6,112.4,116.5,111.8,113.2,108.8,111.7,109.4,108.3,107.3,106.8,107.1,105.3,106.4,111.3,104.2,110.7,112.4,109.4,104.6,109.5,109.0,109.5
"영아사망률(출생아 천명당)",-,2.4,2.5,2.3,2.4,2.5,2.7,2.8,2.8,2.8,2.7,3.0,3.0,2.9,3.0,3.2,3.2,3.4,3.4,3.8,4.2,4.7,5.1,5.1,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인건수(건)",240326,222412,193657,191690,192507,213502,239159,257622,264455,281635,302828,305507,322807,327073,329087,326104,309759,327715,343559,330634,314304,308598,302503,304877,318407,332090,360407,373500,388960,434911,398484,393121,402593,419774,416872,399312,410708,410129,390276,390229,384686,385188,412984,387468,406795,403031,353824,343013,303156,285910,283226,259604,259112,244780,239457,295137
