"행정구역별(시도)","가구주의 성별","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"전국","계","합계","계","","22388821","22179969","21970523","21663978","21272581","20730614","20220447","19876352","19570670","19281443","19012895","18704975","18388488","18118513","17879317","17494884","17167884","16883417","16601723","16322100","16038858","15732068","15433649","15109514","14775329","14507010",
"전국","계","합계","미혼","","5159344","5014570","4869395","4719532","4436730","4069342","3753256","3529560","3340850","3172029","3049281","2969958","2888319","2816456","2740313","2644722","2520980","2407143","2295655","2180437","2057010","1949821","1835145","1712954","1590684","1461193",
"전국","계","합계","유배우","","12657999","12679598","12701261","12670331","12663124","12577856","12428988","12343201","12266516","12193081","12122061","12018926","11907647","11824181","11767311","11601872","11518902","11460105","11400208","11341885","11291065","11206005","11132370","11039491","10936406","10904453",
"전국","계","합계","사별","","2233294","2225146","2216959","2174574","2123329","2101003","2117787","2131617","2142661","2145873","2126051","2089122","2052992","2019296","1989116","1949051","1913934","1881428","1848163","1816470","1780385","1743446","1709017","1673277","1635137","1596002",
"전국","계","합계","이혼","","2338184","2260655","2182908","2099541","2049398","1982413","1920416","1871974","1820643","1770460","1715502","1626969","1539530","1458580","1382577","1299239","1214068","1134741","1057697","983308","910398","832796","757117","683792","613102","545362",
"전국","계","24세이하","계","","577206","597779","618404","628129","646636","635520","572697","551375","547564","540487","525062","514964","505940","499791","496827","496973","477505","472469","480044","492454","499658","500082","490557","472700","453574","435572",
"전국","계","24세이하","미혼","","569590","589124","608713","617630","634444","621923","558315","535740","530104","521340","505261","495677","487074","481492","479047","479691","459517","453087","458748","469159","474928","471562","459150","438881","417082","395194",
"전국","계","24세이하","유배우","","6875","7786","8695","9498","11022","12293","13173","14483","16329","18038","18722","18093","17631","17077","16612","16218","16943","18301","20142","22071","23452","27243","30161","32613","35319","39201",
"전국","계","24세이하","사별","","16","25","32","35","37","49","48","48","48","50","53","216","295","305","254","141","137","137","137","151","149","167","197","210","231","260",
"전국","계","24세이하","이혼","","725","844","964","966","1133","1255","1161","1104","1083","1059","1026","978","940","917","914","923","908","944","1017","1073","1129","1110","1049","996","942","917",
"전국","계","25~29세","계","","1181790","1199222","1216704","1221375","1178620","1076530","982631","911921","857951","828952","836017","830895","847197","887506","935524","970433","997070","996586","979207","953958","934728","938730","960698","987415","1018235","1035485",
