"행정구역별(시도)","가구주의 성별","가구주의 연령별","항목","단위","2052 년","2051 년","2050 년","2049 년","2048 년","2047 년","2046 년","2045 년","2044 년","2043 년","2042 년","2041 년","2040 년","2039 년","2038 년","2037 년","2036 년","2035 년","2034 년","2033 년","2032 년","2031 년","2030 년","2029 년","2028 년","2027 년","2026 년",
"전국","계","합계","계","","23277470","23447961","23609533","23760443","23899146","24023713","24131623","24221145","24290684","24338645","24365630","24371931","24358286","24325345","24273745","24204775","24119593","24019901","23908631","23786407","23651567","23506021","23348528","23180688","23000187","22806529","22597677",
"전국","계","합계","미혼","","7478889","7444587","7412290","7381387","7350711","7318747","7283734","7243751","7196799","7141783","7078390","7006721","6926911","6838888","6742751","6639448","6530306","6416882","6301545","6184747","6063533","5943575","5822900","5702041","5577826","5448887","5304123",
"전국","계","합계","유배우","","10098214","10274586","10446178","10612030","10771521","10924494","11070677","11210149","11343288","11469954","11590412","11704574","11812226","11913339","12008058","12096305","12177631","12252219","12320671","12383468","12441903","12491492","12532800","12566652","12593713","12614781","12636380",
"전국","계","합계","사별","","2475050","2481096","2484458","2485065","2483290","2479167","2472530","2463936","2453769","2441880","2428984","2415276","2401261","2387455","2373727","2360310","2347454","2335068","2323211","2311722","2300630","2289917","2279517","2269421","2259526","2249615","2241450",
"전국","계","합계","이혼","","3225317","3247692","3266607","3281961","3293624","3301305","3304682","3303309","3296828","3285028","3267844","3245360","3217888","3185663","3149209","3108712","3064202","3015732","2963204","2906470","2845501","2781037","2713311","2642574","2569122","2493246","2415724",
"전국","계","24세이하","계","","319206","309485","298442","289970","287611","291918","301536","314749","331144","351515","375343","405114","442070","474670","495688","517318","534036","547245","545341","544345","550953","547602","536974","530608","534054","536079","556645",
"전국","계","24세이하","미혼","","316983","307346","296396","287980","285615","289860","299396","312514","328791","349005","372660","402210","438895","471313","492264","513770","530388","543480","541590","540496","546758","543206","532441","525850","528927","530523","550057",
"전국","계","24세이하","유배우","","2075","1997","1909","1857","1862","1918","1996","2084","2193","2338","2496","2702","2953","3121","3182","3294","3387","3484","3460","3539","3849","4030","4150","4354","4699","5062","5970",
"전국","계","24세이하","사별","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","12",
"전국","계","24세이하","이혼","","148","142","137","133","134","140","144","151","160","172","187","202","222","236","242","254","261","281","291","310","346","366","383","404","428","488","606",
"전국","계","25~29세","계","","484151","497796","520895","551312","587860","629168","679209","740672","797738","839313","881385","912602","931152","928406","930603","937768","929041","908935","905266","914284","912771","933512","992991","1054990","1097160","1146934","1164366",
"전국","계","25~29세","미혼","","455195","467753","489504","518278","552757","591715","638833","696728","751120","791529","831975","862009","879673","877887","880461","886508","877925","858294","853654","859422","853925","868929","918553","970731","1004519","1044838","1053911",
"전국","계","25~29세","유배우","","27241","28273","29545","31099","33053","35272","38032","41397","43914","45003","46524","47625","48439","47491","47078","48056","47815","47244","48017","50962","54612","59847","68853","77887","85448","94052","101780",
"전국","계","25~29세","사별","","4","6","7","7","7","7","8","8","9","9","10","11","13","13","14","15","15","16","16","18","28","35","44","57","100","120","197",
"전국","계","25~29세","이혼","","1711","1764","1839","1928","2043","2174","2336","2539","2695","2772","2876","2957","3027","3015","3050","3189","3286","3381","3579","3882","4206","4701","5541","6315","7093","7924","8478",
"전국","계","30~34세","계","","785971","847202","922362","993459","1046939","1100460","1140474","1164125","1163209","1168445","1177665","1168411","1145549","1143741","1156528","1155678","1183690","1260361","1343255","1404390","1477441","1540318","1575759","1598029","1624816","1640674","1610395",
"전국","계","30~34세","미혼","","597275","644532","702626","759222","803977","848155","881382","900556","902366","908992","915684","908889","891107","889927","897522","892309","908802","959674","1014367","1050927","1094426","1130187","1140955","1140798","1144538","1134869","1089427",
"전국","계","30~34세","유배우","","178663","191948","208163","221938","230224","239085","245516","249739","247110","245723","248016","245539","240531","239658","244236","247940","258281","281926","307854","330259","357458","382571","405426","426048","447540","471044","486029",
"전국","계","30~34세","사별","","95","102","110","119","126","133","139","145","148","150","158","163","164","170","183","205","230","271","326","430","496","600","709","869","1032","1271","1462",
"전국","계","30~34세","이혼","","9938","10620","11463","12180","12612","13087","13437","13685","13585","13580","13807","13820","13747","13986","14587","15224","16377","18490","20708","22774","25061","26960","28669","30314","31706","33490","33477",
"전국","계","35~39세","계","","1154827","1197896","1223054","1223395","1230801","1240999","1232113","1208903","1208875","1223552","1222627","1252536","1333965","1423321","1490964","1573055","1645909","1688762","1718511","1755403","1781859","1795966","1768036","1735093","1690210","1630091","1621247",
"전국","계","35~39세","미혼","","643053","669863","685184","687363","694102","700244","695828","682563","683215","690633","686981","700813","742161","787410","818967","857689","890092","900487","901309","905542","898649","883754","847258","807015","758747","704973","672344",
"전국","계","35~39세","유배우","","480884","496133","505268","503477","503986","507530","503080","493446","492402","498661","500539","514810","551226","591405","623926","663120","699717","728825","754613","784164","814000","839878","847249","853735","856495","850962","874226",
"전국","계","35~39세","사별","","470","492","514","518","531","551","561","567","587","620","661","715","812","921","1103","1254","1458","1654","1909","2156","2533","2816","3074","3294","3507","3623","3837",
"전국","계","35~39세","이혼","","30420","31408","32088","32037","32182","32674","32644","32327","32671","33638","34446","36198","39766","43585","46968","50992","54642","57796","60680","63541","66677","69518","70455","71049","71461","70533","70840",
"전국","계","40~44세","계","","1261093","1252605","1229500","1230022","1246027","1246330","1277955","1362194","1453981","1523268","1607532","1682815","1727864","1759519","1798671","1827711","1844677","1818850","1788325","1745766","1687711","1639388","1632655","1630167","1664824","1745451","1826390",
"전국","계","40~44세","미혼","","578464","574846","563709","563739","570609","569103","582019","618470","657216","683504","715323","741868","751627","753331","757338","752289","739970","708381","673686","632604","587360","544887","517338","493717","480523","480510","483547",
"전국","계","40~44세","유배우","","619182","614319","602945","602841","610281","610842","626651","668361","714951","752443","798366","841052","871327","896718","926974","955704","980228","984188","986978","984681","972797","966872","985077","1003782","1046138","1117123","1187802",
"전국","계","40~44세","사별","","1797","1818","1826","1860","1939","2018","2146","2382","2640","2960","3256","3613","3945","4345","4736","5297","5726","6085","6398","6680","6811","7063","7431","7733","8437","9550","10776",
"전국","계","40~44세","이혼","","61650","61622","61020","61582","63198","64367","67139","72981","79174","84361","90587","96282","100965","105125","109623","114421","118753","120196","121263","121801","120743","120566","122809","124935","129726","138268","144265",
"전국","계","45~49세","계","","1324701","1358914","1448664","1546131","1619580","1708262","1787019","1833928","1866580","1906688","1935720","1951595","1922181","1887654","1840387","1777281","1724846","1715860","1711608","1746348","1828916","1936387","2032294","2125487","2150098","2133881","2124886",
"전국","계","45~49세","미혼","","592366","606338","644655","685032","712294","744445","770622","780399","781969","785240","779080","765188","731216","693960","650340","602910","558711","529208","503718","488719","486833","492104","496157","497167","485365","463651","444087",
"전국","계","45~49세","유배우","","625242","641369","683913","731477","769659","816645","860386","890635","915627","945674","973701","997142","999480","1000451","995986","981680","973458","990041","1007493","1048866","1119150","1204755","1282473","1361169","1392747","1398468","1406580",
"전국","계","45~49세","사별","","4440","4666","5110","5589","6113","6639","7228","7743","8317","8890","9682","10275","10723","11123","11448","11593","11919","12463","12953","13995","15591","17693","19429","21578","22861","23926","25438",
"전국","계","45~49세","이혼","","102653","106541","114986","124033","131514","140533","148783","155151","160667","166884","173257","178990","180762","182120","182613","181098","180758","184148","187444","194768","207342","221835","234235","245573","249125","247836","248781",
"전국","계","50~54세","계","","1803649","1886934","1936302","1970264","2012102","2041842","2057265","2024541","1986303","1934438","1866181","1809180","1797761","1791703","1826642","1911703","2022851","2122232","2218678","2243648","2225716","2173298","2129709","2112324","2173946","2249343","2310927",
