"행정구역별(시도)","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"전국","합계","계","","22388821","22179969","21970523","21663978","21272581","20730614","20220447","19876352","19570670","19281443","19012895","18704975","18388488","18118513","17879317","17494884","17167884","16883417","16601723","16322100","16038858","15732068","15433649","15109514","14775329","14507010",
"전국","합계","부부","","3998353","3902523","3806885","3742535","3618009","3475181","3341207","3205953","3081158","2990392","2959592","2876380","2811928","2748883","2695485","2629660","2541700","2467739","2391009","2316755","2248550","2150010","2059181","1965225","1871030","1785717",
"전국","합계","부부+미혼자녀","","5644413","5724793","5810013","5904824","6016545","6078106","6082165","6135037","6170487","6176334","6181306","6234012","6315831","6414463","6516478","6544401","6595292","6652767","6712794","6769654","6815725","6857975","6894929","6921880","6941305","6993296",
"전국","합계","부+미혼자녀","","488885","494523","500860","499886","504347","508903","514643","517518","517907","524160","524997","499539","462096","425991","390554","350681","338238","326163","314068","302219","289874","275579","261980","248193","234407","222236",
"전국","합계","모+미혼자녀","","1492522","1499524","1507898","1506268","1519591","1520193","1500441","1495102","1485700","1495419","1505949","1470298","1418226","1370384","1323899","1263825","1229965","1196853","1163756","1130800","1096469","1058970","1022573","984926","947041","914795",
"전국","합계","기타","","2004898","2048216","2098376","2121526","2168333","2260304","2364031","2421909","2475822","2511816","2489372","2447219","2412246","2383410","2360283","2320272","2284715","2255313","2226100","2197848","2171188","2169643","2171480","2169819","2166640","2173679",
"전국","합계","1인 가구","","8155636","7940723","7713031","7388942","6989675","6476735","6046695","5771150","5544152","5332365","5137971","4964662","4756220","4563342","4379916","4174073","3963334","3766306","3571412","3377666","3185621","3001257","2818062","2628346","2438225","2255298",
"전국","합계","비친족가구","","604114","569667","533460","499997","456081","411192","371265","329683","295444","250957","213708","212865","211941","212040","212702","211972","214640","218276","222584","227158","231431","218634","205444","191125","176681","161989",
"전국","24세이하","계","","577206","597779","618404","628129","646636","635520","572697","551375","547564","540487","525062","514964","505940","499791","496827","496973","477505","472469","480044","492454","499658","500082","490557","472700","453574","435572",
"전국","24세이하","부부","","1145","1404","1733","1942","2182","2452","2644","2724","2909","3874","5494","5600","5853","6133","6461","6881","7859","9026","10457","12026","13445","14865","15933","16660","17309","18042",
"전국","24세이하","부부+미혼자녀","","6340","7188","8174","9351","10468","10996","11439","11877","12194","13016","13489","12691","11663","10708","9836","9070","8544","8301","8293","8346","8256","9477","10482","11251","11961","12726",
"전국","24세이하","부+미혼자녀","","3605","3896","4217","4493","4849","4959","4972","4839","4752","4907","4871","4445","3856","3292","2756","2235","2020","1876","1782","1697","1590","1493","1363","1207","1052","903",
"전국","24세이하","모+미혼자녀","","8369","9203","10131","11131","12048","12285","12345","12414","12271","12784","13128","12755","12370","12056","11830","11738","11334","11285","11542","11904","12116","12379","12363","12115","11827","11590",
"전국","24세이하","기타","","28397","31405","34831","40656","44576","45196","44301","45456","46256","47829","51080","51895","53797","55984","58554","61582","61787","63725","67362","71782","75557","79772","82578","83983","85037","86194",
