"행정구역별(시도)","가구주의 연령별","항목","단위","2052 년","2051 년","2050 년","2049 년","2048 년","2047 년","2046 년","2045 년","2044 년","2043 년","2042 년","2041 년","2040 년","2039 년","2038 년","2037 년","2036 년","2035 년","2034 년","2033 년","2032 년","2031 년","2030 년","2029 년","2028 년","2027 년","2026 년",
"전국","합계","계","","23277470","23447961","23609533","23760443","23899146","24023713","24131623","24221145","24290684","24338645","24365630","24371931","24358286","24325345","24273745","24204775","24119593","24019901","23908631","23786407","23651567","23506021","23348528","23180688","23000187","22806529","22597677",
"전국","합계","부부","","5318483","5337323","5360390","5378890","5387879","5389311","5377824","5366134","5351995","5326199","5295604","5257688","5214107","5169985","5110852","5049670","4984941","4906199","4830796","4746559","4663633","4581516","4480770","4383873","4288818","4191388","4094650",
"전국","합계","부부+미혼자녀","","4047688","4106877","4163155","4220407","4277123","4332468","4391965","4455022","4521937","4583721","4646329","4712174","4773774","4835350","4893142","4947787","5000829","5046995","5094096","5147477","5200546","5254528","5313601","5374351","5433482","5496746","5568495",
"전국","합계","부+미혼자녀","","397711","400879","403614","406215","408766","411410","414500","417756","421093","424059","427156","430342","433337","436585","439923","442796","445378","448236","451331","455261","458929","462448","466780","471085","475061","479509","483895",
"전국","합계","모+미혼자녀","","1376456","1388592","1397630","1405219","1411095","1416515","1421855","1425824","1429349","1431803","1434986","1439104","1442231","1445674","1448205","1449498","1450927","1451945","1454191","1458645","1461958","1464825","1468810","1472772","1477690","1482144","1486764",
"전국","합계","기타","","1706066","1718708","1728720","1737894","1746126","1751640","1757768","1758337","1758726","1760839","1761900","1764217","1764103","1764391","1769039","1773685","1780037","1788951","1798033","1811498","1825242","1840776","1861799","1883046","1908491","1935596","1967605",
"전국","합계","1인 가구","","9619733","9675409","9726244","9773795","9822931","9869976","9909762","9936175","9944651","9949808","9939544","9913246","9881726","9830949","9776940","9714284","9639660","9567890","9479734","9378096","9266394","9143070","9016430","8876401","8722176","8553012","8359364",
"전국","합계","비친족가구","","811333","820173","829780","838023","845226","852393","857949","861897","862933","862216","860111","855160","849008","842411","835644","827055","817821","809685","800450","788871","774865","758858","740338","719160","694469","668134","636904",
"전국","24세이하","계","","319206","309485","298442","289970","287611","291918","301536","314749","331144","351515","375343","405114","442070","474670","495688","517318","534036","547245","545341","544345","550953","547602","536974","530608","534054","536079","556645",
"전국","24세이하","부부","","62","62","62","63","66","70","77","86","97","110","126","146","172","199","225","255","286","321","350","384","431","477","524","586","673","776","940",
"전국","24세이하","부부+미혼자녀","","1049","1035","1016","1009","1026","1074","1148","1241","1357","1498","1663","1868","2123","2372","2577","2803","3016","3226","3357","3512","3741","3918","4062","4273","4608","4966","5604",
