"A By Administrative District",Y2025 2025
"00 Whole country",24300087
"11 Seoul",4501031
"11110 Jongno-gu",72324
"11140 Jung-gu",63817
"11170 Yongsan-gu",102959
"11200 Seongdong-gu",133173
"11215 Gwangjin-gu",171133
"11230 Dongdaemun-gu",176684
"11260 Jungnang-gu",189383
"11290 Seongbuk-gu",198800
"11305 Gangbuk-gu",142256
"11320 Dobong-gu",139018
"11350 Nowon-gu",216559
"11380 Eunpyeong-gu",214276
"11410 Seodaemun-gu",146113
"11440 Mapo-gu",180260
"11470 Yangcheon-gu",179514
"11500 Gangseo-gu",273604
"11530 Guro-gu",184270
"11545 Geumcheon-gu",121572
"11560 Yeongdeungpo-gu",192407
"11590 Dongjak-gu",186834
"11620 Gwanak-gu",288778
"11650 Seocho-gu",173506
"11680 Gangnam-gu",245264
"11710 Songpa-gu",285903
"11740 Gangdong-gu",222624
"26 Busan",1573996
"26110 Jung-gu",23261
"26140 Seo-gu",53445
"26170 Dong-gu",46249
"26200 Yeongdo-gu",53292
"26230 Busanjin-gu",188730
"26260 Dongnae-gu",122770
"26290 Nam-gu",118826
"26320 Buk-gu",121936
"26350 Haeundae-gu",169635
"26380 Saha-gu",139728
"26410 Geumjeong-gu",104548
"26440 Gangseo-gu",65299
"26470 Yeonje-gu",100217
"26500 Suyeong-gu",87607
"26530 Sasang-gu",98610
"26710 Gijang-gun",79843
"27 Daegu",1112508
"27110 Jung-gu",50357
"27140 Dong-gu",165581
"27170 Seo-gu",85176
"27200 Nam-gu",75515
"27230 Buk-gu",192994
"27260 Suseong-gu",176766
"27290 Dalseo-gu",238647
"27710 Dalseong-gun",113978
"27720 Gunwi-gun",13494
"28 Incheon",1400788
"28110 Jung-gu",88888
"28114 Jung-gu youngjong branch office",0
"28118 Jung-gu yongyu branch office",0
"28140 Dong-gu",27216
"28177 Michuhol-gu",205242
"28185 Yeonsu-gu",168688
"28200 Namdong-gu",225320
"28237 Bupyeong-gu",226292
"28245 Gyeyang-gu",128575
"28260 Seo-gu",282102
"28265 Seo-gu geomdan branch office",0
"28710 Ganghwa-gun",36130
"28720 Ongjin-gun",12335
"29 Gwangju",658450
"29110 Dong-gu",55152
"29140 Seo-gu",132651
"29155 Nam-gu",96284
"29170 Buk-gu",201323
"29200 Gwangsan-gu",173040
"30 Daejeon",697348
"30110 Dong-gu",112685
"30140 Jung-gu",109777
"30170 Seo-gu",222186
"30200 Yuseong-gu",171731
"30230 Daedeok-gu",80969
"31 Ulsan",499304
"31110 Jung-gu",94827
"31140 Nam-gu",142905
"31170 Dong-gu",68311
"31200 Buk-gu",90118
"31710 Ulju-gun",103143
"36 Sejong-si",165220
"36110 Sejong-si",165220
"41 Gyeonggi-do",6121301
"41110 Suwon-si",541583
"41111 Jangan-gu",122406
"41113 Gwonseon-gu",165474
"41115 Paldal-gu",97494
"41117 Yondtong-gu",156209
"41130 Seongnam-si",409252
"41131 Sujeong-gu",116200
"41133 Jungwon-gu",99667
"41135 Bundang-gu",193385
"41150 Uijeongbu-si",212285
"41170 Anyang-si",239981
"41171 Manan-gu",105522
"41173 Dongan-gu",134459
"41190 Bucheon-si",342377
"41192 Wonmi-gu",174552
"41194 Sosa-gu",98761
"41196 Ojeong-gu",69064
"41210 Gwangmyeong-si",123100
"41220 Pyeongtaek-si",292664
"41222 Songtan branch office",0
"41224 Anjung branch office",0
"41250 Dongducheon-si",43565
"41270 Ansan-si",287919
"41271 Sangnok-gu",151687
"41273 Danwon-gu",136232
"41280 Goyang-si",466150
"41281 Deogyang-gu",219055
"41285 Ilsandong-gu",132750
"41287 Ilsanseo-gu",114345
