"A 행정구역(시군구)별",Y2025 2025
"00 전국",24300087
"11 서울특별시",4501031
"11110 종로구",72324
"11140 중구",63817
"11170 용산구",102959
"11200 성동구",133173
"11215 광진구",171133
"11230 동대문구",176684
"11260 중랑구",189383
"11290 성북구",198800
"11305 강북구",142256
"11320 도봉구",139018
"11350 노원구",216559
"11380 은평구",214276
"11410 서대문구",146113
"11440 마포구",180260
"11470 양천구",179514
"11500 강서구",273604
"11530 구로구",184270
"11545 금천구",121572
"11560 영등포구",192407
"11590 동작구",186834
"11620 관악구",288778
"11650 서초구",173506
"11680 강남구",245264
"11710 송파구",285903
"11740 강동구",222624
"26 부산광역시",1573996
"26110 중구",23261
"26140 서구",53445
"26170 동구",46249
"26200 영도구",53292
"26230 부산진구",188730
"26260 동래구",122770
"26290 남구",118826
"26320 북구",121936
"26350 해운대구",169635
"26380 사하구",139728
"26410 금정구",104548
"26440 강서구",65299
"26470 연제구",100217
"26500 수영구",87607
"26530 사상구",98610
"26710 기장군",79843
"27 대구광역시",1112508
"27110 중구",50357
"27140 동구",165581
"27170 서구",85176
"27200 남구",75515
"27230 북구",192994
"27260 수성구",176766
"27290 달서구",238647
"27710 달성군",113978
"27720 군위군",13494
"28 인천광역시",1400788
"28110 중구",88888
"28114 중구영종출장소",0
"28118 중구용유출장소",0
"28140 동구",27216
"28177 미추홀구",205242
"28185 연수구",168688
"28200 남동구",225320
"28237 부평구",226292
"28245 계양구",128575
"28260 서구",282102
"28265 서구검단출장소",0
"28710 강화군",36130
"28720 옹진군",12335
"29 광주광역시",658450
"29110 동구",55152
"29140 서구",132651
"29155 남구",96284
"29170 북구",201323
"29200 광산구",173040
"30 대전광역시",697348
"30110 동구",112685
"30140 중구",109777
"30170 서구",222186
"30200 유성구",171731
"30230 대덕구",80969
"31 울산광역시",499304
"31110 중구",94827
"31140 남구",142905
"31170 동구",68311
"31200 북구",90118
"31710 울주군",103143
"36 세종특별자치시",165220
"36110 세종시",165220
"41 경기도",6121301
"41110 수원시",541583
"41111 장안구",122406
"41113 권선구",165474
"41115 팔달구",97494
"41117 영통구",156209
"41130 성남시",409252
"41131 수정구",116200
"41133 중원구",99667
"41135 분당구",193385
"41150 의정부시",212285
"41170 안양시",239981
"41171 만안구",105522
"41173 동안구",134459
"41190 부천시",342377
"41192 원미구",174552
"41194 소사구",98761
"41196 오정구",69064
"41210 광명시",123100
"41220 평택시",292664
"41222 송탄출장소",0
"41224 안중출장소",0
"41250 동두천시",43565
"41270 안산시",287919
"41271 상록구",151687
"41273 단원구",136232
"41280 고양시",466150
"41281 덕양구",219055
"41285 일산동구",132750
"41287 일산서구",114345
"41290 과천시",28738
"41310 구리시",81784
"41360 남양주시",308737
"41362 풍양출장소",0
"41370 오산시",115234
"41390 시흥시",229801
"41410 군포시",111657
"41430 의왕시",66007
"41450 하남시",140900
"41460 용인시",448730
"41461 처인구",129138
"41463 기흥구",177169
"41465 수지구",142423
"41480 파주시",233305
"41500 이천시",106808
"41550 안성시",97042
"41570 김포시",207222
"41590 화성시",428268
"41592 화성시동부출장소",0
"41594 화성시동탄출장소",0
"41610 광주시",175865
"41630 양주시",132518
"41650 포천시",73702
"41670 여주시",56850
"41800 연천군",22487
"41820 가평군",33116
"41830 양평군",63654
"51 강원특별자치도",768900
"51110 춘천시",138329
"51130 원주시",176165
"51150 강릉시",105025
"51170 동해시",43489
"51190 태백시",20065
"51210 속초시",41109
"51230 삼척시",33240
"51720 홍천군",35022
"51730 횡성군",24065
"51750 영월군",20893
"51760 평창군",22013
"51770 정선군",19999
"51780 철원군",20275
"51790 화천군",11979
"51800 양구군",10392
"51810 인제군",16599
"51820 고성군",15317
"51830 양양군",14924
"43 충청북도",797797
"43110 청주시",409218
"43111 상당구",89179
"43112 서원구",89521
"43113 흥덕구",139909
"43114 청원구",90609
"43130 충주시",104470
"43150 제천시",66373
"43720 보은군",16902
"43730 옥천군",26171
"43740 영동군",23659
"43745 증평군",18968
"43750 진천군",43425
"43760 괴산군",22117
"43770 음성군",51270
"43800 단양군",15224
"44 충청남도",1062282
"44130 천안시",317941
"44131 동남구",127570
"44133 서북구",190371
"44150 공주시",53661
"44180 보령시",48882
"44200 아산시",168205
"44210 서산시",84117
"44230 논산시",56990
"44250 계룡시",19525
"44270 당진시",86085
"44710 금산군",26654
"44760 부여군",32080
"44770 서천군",26129
"44790 청양군",16898
"44800 홍성군",50496
"44810 예산군",41198
"44825 태안군",33421
"52 전북특별자치도",868116
"52110 전주시",296468
"52111 완산구",152662
"52113 덕진구",143806
"52130 군산시",126059
"52140 익산시",132645
"52180 정읍시",54386
"52190 남원시",39778
"52210 김제시",44463
"52710 완주군",50263
"52720 진안군",13812
